X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
398;163;0.5002271;0.4191584;0.5002271;0.8383168;515.1;0.1757405;False;17-11-2024 20:43:02:559;1731872582559;;
399;163;0.5018227;0.4181545;0.5234536;0.8014689;516.4;0.1809131;False;17-11-2024 20:43:02:815;1731872582815;;
424;162;0.5320565;0.4166509;0.6180025;0.7815919;521.7;0.177247;False;17-11-2024 20:43:03:147;1731872583147;;
346;154;0.4350398;0.3954636;0.3498599;0.6612024;525.4;0.1492621;False;17-11-2024 20:43:06:334;1731872586334;;
337;153;0.4237015;0.3936475;0.3268369;0.6885502;527.1;0.1525746;False;17-11-2024 20:43:06:659;1731872586659;;
345;152;0.4329131;0.3914238;0.4527768;0.7511632;532.5;0.1846096;False;17-11-2024 20:43:07:298;1731872587298;;
416;152;0.5222115;0.3917333;0.6146803;0.7869826;531.5;0.1833653;False;17-11-2024 20:43:16:262;1731872596262;;
421;152;0.5288232;0.3917423;0.5606766;0.7868322;525.7;0.1806073;False;17-11-2024 20:43:16:900;1731872596900;;
422;153;0.5306467;0.3942028;0.5486678;0.8345397;522.1;0.1767765;False;17-11-2024 20:43:17:863;1731872597863;;
452;157;0.5674705;0.4032535;0.6519579;0.9089906;522.4;0.187682;False;17-11-2024 20:43:18:818;1731872598818;;
452;158;0.5682544;0.4051539;0.5711488;0.8619399;519.5;0.1992465;False;17-11-2024 20:43:19:459;1731872599459;;
464;158;0.582894;0.4058016;0.6413356;0.8246808;514.9;0.199985;False;17-11-2024 20:43:20:414;1731872600414;;
466;158;0.5855348;0.4058399;0.6456689;0.8142694;516.0;0.1894679;False;17-11-2024 20:43:20:738;1731872600738;;
467;158;0.5867514;0.4070939;0.6345266;0.8556271;513.5;0.198638;False;17-11-2024 20:43:21:55;1731872601055;;
474;159;0.5959136;0.4102532;0.6721736;0.8945532;512.2;0.1882583;False;17-11-2024 20:43:21:376;1731872601376;;
476;161;0.5980888;0.4130312;0.6480604;0.9147065;514.0;0.18752;False;17-11-2024 20:43:21:697;1731872601697;;
470;161;0.5898877;0.4141777;0.5626757;0.8700832;516.5;0.1930089;False;17-11-2024 20:43:22:17;1731872602017;;
479;161;0.6019123;0.4147084;0.6570816;0.8622684;514.4;0.1766261;False;17-11-2024 20:43:22:335;1731872602335;;
484;162;0.6078771;0.4157431;0.6657713;0.8891802;513.4;0.1753973;False;17-11-2024 20:43:22:654;1731872602654;;
485;161;0.6088721;0.4153532;0.648875;0.8228674;506.6;0.1769378;False;17-11-2024 20:43:22:976;1731872602976;;
486;161;0.6105407;0.4137977;0.6604991;0.791355;505.2;0.1758526;False;17-11-2024 20:43:23:297;1731872603297;;
