X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
409;151;0.2665398;0.2194342;0.2665398;0.4388685;547.5;0.1636692;False;17-11-2024 20:22:59:675;1731871379675;;
407;132;0.2652873;0.1911137;0.251739;0.2646963;546.5;0.1524253;False;17-11-2024 20:22:59:950;1731871379950;;
406;132;0.2644943;0.1914291;0.2493251;0.386555;546.2;0.1932734;False;17-11-2024 20:23:00:268;1731871380268;;
406;123;0.2644502;0.1783185;0.2516997;0.2666808;548.7;0.1727509;False;17-11-2024 20:23:00:582;1731871380582;;
806;213;0.5252961;0.3094225;0.6314356;0.7992522;545.1;0.1801252;False;17-11-2024 20:23:00:905;1731871380905;;
545;159;0.3548187;0.2306497;0.2510538;0.2992901;545.1;0.1970393;False;17-11-2024 20:23:01:223;1731871381223;;
492;172;0.3207333;0.249059;0.2557612;0.5747894;542.4;0.1910504;False;17-11-2024 20:23:01:551;1731871381551;;
649;170;0.4229397;0.2460718;0.4967972;0.4592616;545.6;0.2006995;False;17-11-2024 20:23:01:870;1731871381870;;
922;170;0.6005929;0.2460306;0.7009776;0.4821503;546.2;0.2086351;False;17-11-2024 20:23:02:184;1731871382184;;
972;169;0.6333621;0.2454168;0.6932409;0.4654019;545.8;0.1868344;False;17-11-2024 20:23:02:502;1731871382502;;
961;225;0.6260509;0.3260901;0.6067984;0.8130143;537.4;0.1502094;False;17-11-2024 20:23:02:830;1731871382830;;
988;257;0.6436588;0.3723625;0.6876497;0.9028444;536.8;0.2790599;False;17-11-2024 20:23:03:149;1731871383149;;
1113;200;0.7246439;0.2901583;0.8095443;0.4416659;520.4;0.2731782;False;17-11-2024 20:23:03:506;1731871383506;;
1040;223;0.6771565;0.3241297;0.6250116;0.7641149;505.0;0.2238908;False;17-11-2024 20:23:03:828;1731871383828;;
1167;250;0.7601898;0.3621993;0.8376281;0.8733738;489.4;0.1573418;False;17-11-2024 20:23:04:148;1731871384148;;
995;242;0.6480116;0.3508014;0.5664194;0.652686;478.2;0.1287404;True;17-11-2024 20:23:04:455;1731871384455;;
1048;239;0.6828099;0.3463078;0.7374576;0.6447502;469.1;0.1225801;True;17-11-2024 20:23:04:786;1731871384786;;
658;245;0.4288238;0.3553408;0.349218;0.757838;458.5;0.1427177;False;17-11-2024 20:23:06:706;1731871386706;;
829;240;0.5400596;0.3479067;0.6129112;0.6468372;454.6;0.1693111;False;17-11-2024 20:23:07:27;1731871387027;;
888;240;0.5781429;0.3474696;0.6362211;0.6699073;446.7;0.1729048;False;17-11-2024 20:23:07:344;1731871387344;;
1010;237;0.6580752;0.3435618;0.7285087;0.6373892;452.4;0.1432389;False;17-11-2024 20:23:09:220;1731871389220;;
1115;246;0.72655;0.3560824;0.8252304;0.7753196;455.8;0.1526115;False;17-11-2024 20:23:09:547;1731871389547;;
1119;245;0.7287959;0.3552625;0.7350819;0.6950786;454.6;0.191646;False;17-11-2024 20:23:09:865;1731871389865;;
1130;238;0.7357986;0.3450854;0.778642;0.6145944;452.1;0.1526376;False;17-11-2024 20:23:10:182;1731871390182;;
1101;222;0.717418;0.3217269;0.684488;0.5182874;454.5;0.1514763;False;17-11-2024 20:23:10:507;1731871390507;;
1091;209;0.7105301;0.3029912;0.6789734;0.4672882;453.2;0.1625859;False;17-11-2024 20:23:10:825;1731871390825;;
1263;268;0.8224178;0.388361;0.9041507;0.9180041;469.3;0.1529095;False;17-11-2024 20:23:11:137;1731871391137;;
966;268;0.629352;0.388364;0.5312493;0.7776288;470.7;0.1675175;False;17-11-2024 20:23:11:472;1731871391472;;
791;260;0.515357;0.3774182;0.4267067;0.6782034;471.8;0.1709987;False;17-11-2024 20:23:11:781;1731871391781;;
815;260;0.5311739;0.3770169;0.5657035;0.7461552;472.7;0.1739542;False;17-11-2024 20:23:12:103;1731871392103;;
867;260;0.5650323;0.3764497;0.6268209;0.7226153;468.6;0.184973;False;17-11-2024 20:23:12:426;1731871392426;;
788;239;0.5130329;0.3470209;0.4562889;0.566855;465.7;0.1663532;False;17-11-2024 20:23:12:741;1731871392741;;
922;234;0.6003273;0.3400263;0.6777735;0.5753756;463.6;0.1833322;False;17-11-2024 20:23:13:66;1731871393066;;
815;232;0.5306504;0.3362502;0.4622261;0.5662386;462.7;0.1758925;False;17-11-2024 20:23:13:381;1731871393381;;
800;224;0.5213335;0.3252896;0.4805638;0.5182487;461.9;0.1697528;False;17-11-2024 20:23:13:708;1731871393708;;
792;223;0.5157335;0.3233703;0.472185;0.6329909;459.4;0.1682621;False;17-11-2024 20:23:14:21;1731871394021;;
954;222;0.621541;0.3226822;0.6968289;0.6292564;459.3;0.1668864;False;17-11-2024 20:23:14:339;1731871394339;;
977;235;0.6364591;0.3406923;0.6787025;0.7658636;458.2;0.1457019;False;17-11-2024 20:23:14:660;1731871394660;;
988;231;0.6435854;0.3356982;0.6862462;0.6316096;455.5;0.1555967;False;17-11-2024 20:23:14:981;1731871394981;;
800;228;0.5212138;0.3303486;0.4413023;0.6000835;457.6;0.1766248;False;17-11-2024 20:23:15:304;1731871395304;;
821;222;0.5347992;0.3217526;0.5736434;0.5539068;455.7;0.1799551;False;17-11-2024 20:23:15:618;1731871395618;;
827;221;0.5385237;0.3202162;0.5721505;0.6073104;452.7;0.1827229;False;17-11-2024 20:23:15:941;1731871395941;;
913;244;0.5949107;0.3544425;0.6750962;0.8160395;455.9;0.1724314;False;17-11-2024 20:23:16:265;1731871396265;;
865;210;0.5634746;0.3053057;0.5217945;0.4810655;458.2;0.1766603;False;17-11-2024 20:23:16:578;1731871396578;;
907;208;0.5909225;0.3021378;0.6427414;0.5375513;455.8;0.1734372;False;17-11-2024 20:23:16:903;1731871396903;;
948;204;0.61776;0.2958586;0.6811427;0.501093;455.9;0.2006935;False;17-11-2024 20:23:17:227;1731871397227;;
951;207;0.6195974;0.3004554;0.6287717;0.6290368;452.0;0.1957669;False;17-11-2024 20:23:17:543;1731871397543;;
911;207;0.5931245;0.3006446;0.5482011;0.6085761;448.4;0.1979977;False;17-11-2024 20:23:17:865;1731871397865;;
900;206;0.5862069;0.2990765;0.5493228;0.5677888;444.7;0.179041;False;17-11-2024 20:23:18:181;1731871398181;;
975;213;0.6350949;0.308439;0.691862;0.6803134;442.1;0.2016734;False;17-11-2024 20:23:18:504;1731871398504;;
1005;213;0.6549385;0.3084255;0.7070546;0.6165516;446.6;0.2239613;False;17-11-2024 20:23:18:821;1731871398821;;
870;216;0.5666361;0.3132776;0.4956862;0.6839904;447.4;0.2167868;False;17-11-2024 20:23:19:146;1731871399146;;
870;224;0.5666637;0.3255927;0.5671468;0.750562;449.3;0.2393966;False;17-11-2024 20:23:19:460;1731871399460;;
898;224;0.5851144;0.324984;0.6268995;0.6449966;449.8;0.2137536;False;17-11-2024 20:23:19:882;1731871399882;;
783;223;0.5103386;0.3231481;0.4420984;0.6197112;449.0;0.2156276;False;17-11-2024 20:23:20:214;1731871400214;;
851;234;0.554557;0.3397491;0.6117567;0.7642661;443.2;0.2274498;False;17-11-2024 20:23:20:572;1731871400572;;
855;234;0.5571151;0.3396652;0.5884509;0.6781156;442.7;0.2341672;False;17-11-2024 20:23:20:906;1731871400906;;
930;238;0.6058038;0.3448977;0.6858357;0.7534708;444.4;0.2384711;False;17-11-2024 20:23:21:166;1731871401166;;
935;238;0.6089661;0.345451;0.657383;0.7067519;446.3;0.2362887;False;17-11-2024 20:23:21:471;1731871401471;;
941;243;0.6126454;0.352339;0.6645608;0.7783033;448.5;0.2439537;False;17-11-2024 20:23:21:798;1731871401798;;
877;243;0.5715746;0.352569;0.5251752;0.7550903;446.7;0.2483214;False;17-11-2024 20:23:22:126;1731871402126;;
882;244;0.5747271;0.3534031;0.5943156;0.7251858;447.0;0.2368927;False;17-11-2024 20:23:22:443;1731871402443;;
876;244;0.5705534;0.3541434;0.5519497;0.7475844;446.3;0.2377986;False;17-11-2024 20:23:22:774;1731871402774;;
871;244;0.5671458;0.3542944;0.5419825;0.7118465;444.0;0.2220833;False;17-11-2024 20:23:23:79;1731871403079;;
853;244;0.5559894;0.3543443;0.5110055;0.7242554;444.4;0.2412023;False;17-11-2024 20:23:23:399;1731871403399;;
851;233;0.5542162;0.3381087;0.5166305;0.5914005;445.1;0.2406852;False;17-11-2024 20:23:23:712;1731871403712;;
