X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
377;204;0.2455516;0.2885261;0.2455516;0.5770523;633.0;0.1068572;True;11-11-2024 09:59:53:55;1731315593055;;
377;190;0.2455946;0.275053;0.2485708;0.4246365;656.0;0.1004359;True;11-11-2024 09:59:53:192;1731315593192;;
524;202;0.3417395;0.2929602;0.46918;0.7073794;636.9;0.183235;False;11-11-2024 09:59:53:278;1731315593278;;
572;206;0.3730231;0.2987003;0.455116;0.683384;619.1;0.1865534;False;11-11-2024 09:59:53:348;1731315593348;;
636;211;0.4141713;0.3061895;0.5134563;0.7219529;603.2;0.1840411;False;11-11-2024 09:59:53:412;1731315593412;;
668;216;0.4349236;0.3136581;0.5112302;0.7486507;589.7;0.1827827;False;11-11-2024 09:59:53:470;1731315593470;;
718;221;0.4680958;0.3212515;0.5748835;0.7814267;577.7;0.1753748;False;11-11-2024 09:59:53:518;1731315593518;;
724;223;0.4717693;0.32379;0.5109814;0.7489974;567.4;0.1802356;False;11-11-2024 09:59:53:564;1731315593564;;
724;223;0.4716291;0.3240736;0.4661109;0.6594669;557.6;0.1789264;False;11-11-2024 09:59:53:612;1731315593612;;
714;223;0.4650331;0.3239697;0.4122289;0.6436758;547.4;0.1794964;False;11-11-2024 09:59:53:654;1731315593654;;
714;223;0.4650279;0.3240334;0.4630476;0.6896613;540.0;0.1814373;False;11-11-2024 09:59:53:696;1731315593696;;
715;224;0.4656414;0.3241931;0.4812548;0.6738352;533.0;0.1716861;False;11-11-2024 09:59:53:738;1731315593738;;
717;224;0.4672846;0.3252361;0.4946714;0.7172468;526.6;0.1736222;False;11-11-2024 09:59:53:782;1731315593782;;
718;225;0.4678944;0.3263873;0.4882991;0.7278875;521.2;0.1772622;False;11-11-2024 09:59:53:820;1731315593820;;
719;227;0.4685985;0.3291684;0.491412;0.7610913;516.0;0.17432;False;11-11-2024 09:59:53:859;1731315593859;;
756;228;0.4923434;0.3313773;0.5945206;0.760712;511.9;0.1638322;False;11-11-2024 09:59:53:901;1731315593901;;
786;230;0.5119595;0.3339205;0.6093518;0.7762827;508.4;0.1667081;False;11-11-2024 09:59:53:940;1731315593940;;
828;233;0.5393261;0.3376683;0.6518489;0.8014967;504.2;0.1741275;False;11-11-2024 09:59:53:979;1731315593979;;
872;236;0.5678936;0.3425094;0.6787435;0.8237387;501.0;0.17869;False;11-11-2024 09:59:54:20;1731315594020;;
892;238;0.5813678;0.3450938;0.6651305;0.8134676;498.1;0.1809917;False;11-11-2024 09:59:54:55;1731315594055;;
901;240;0.5867452;0.3475116;0.6429164;0.8177056;496.9;0.175423;False;11-11-2024 09:59:54:94;1731315594094;;
913;241;0.5946139;0.3492446;0.6619568;0.814279;494.2;0.1728806;False;11-11-2024 09:59:54:134;1731315594134;;
925;241;0.6022837;0.3493236;0.6621484;0.7882811;492.6;0.1657399;False;11-11-2024 09:59:54:194;1731315594194;;
933;242;0.6074812;0.3503453;0.6698127;0.8087083;492.0;0.1708421;False;11-11-2024 09:59:54:235;1731315594235;;
935;243;0.609183;0.3521378;0.6553057;0.8262085;491.6;0.1722599;False;11-11-2024 09:59:54:274;1731315594274;;
938;243;0.6109313;0.3522272;0.65875;0.7964635;489.1;0.1687926;False;11-11-2024 09:59:54:312;1731315594312;;
941;244;0.6130283;0.3532493;0.6645401;0.8189199;487.5;0.172698;False;11-11-2024 09:59:54:352;1731315594352;;
942;244;0.6135343;0.3534776;0.6355906;0.8072477;486.4;0.1782405;False;11-11-2024 09:59:54:391;1731315594391;;
943;244;0.6139645;0.353945;0.6512548;0.8134279;484.8;0.182465;False;11-11-2024 09:59:54:429;1731315594429;;
947;245;0.6171094;0.3550093;0.6750019;0.8263997;483.0;0.1801889;False;11-11-2024 09:59:54:467;1731315594467;;
947;246;0.6171403;0.3560791;0.6523012;0.8294898;481.7;0.1816623;False;11-11-2024 09:59:54:509;1731315594509;;
948;246;0.6176302;0.3564883;0.6575347;0.8208824;481.5;0.1808819;False;11-11-2024 09:59:54:555;1731315594555;;
949;247;0.6182674;0.357516;0.6448189;0.7949252;480.1;0.16557;False;11-11-2024 09:59:54:620;1731315594620;;
950;247;0.618892;0.3579854;0.6323955;0.8172842;479.6;0.1763952;False;11-11-2024 09:59:54:675;1731315594675;;
951;247;0.6191504;0.35822;0.641486;0.8069513;479.2;0.1851161;False;11-11-2024 09:59:54:729;1731315594729;;
949;247;0.6184126;0.3586465;0.6098616;0.8013604;478.0;0.1836616;False;11-11-2024 09:59:54:783;1731315594783;;
951;248;0.619709;0.3591376;0.6524435;0.7966553;477.7;0.1930617;False;11-11-2024 09:59:54:835;1731315594835;;
951;248;0.6197266;0.3599775;0.6398853;0.7812985;476.9;0.1967707;False;11-11-2024 09:59:54:892;1731315594892;;
953;249;0.6208983;0.3611183;0.6511948;0.7619181;476.7;0.1933943;False;11-11-2024 09:59:54:979;1731315594979;;
953;249;0.6209774;0.3616215;0.6423944;0.7993127;475.8;0.185075;False;11-11-2024 09:59:55:24;1731315595024;;
954;250;0.6212391;0.3619759;0.6308371;0.7742686;474.0;0.1923767;False;11-11-2024 09:59:55:69;1731315595069;;
955;250;0.6220549;0.3622269;0.6532195;0.7754872;473.2;0.1939924;False;11-11-2024 09:59:55:113;1731315595113;;
955;250;0.6222137;0.3623832;0.6264178;0.7777547;473.9;0.1888892;False;11-11-2024 09:59:55:159;1731315595159;;
949;250;0.6182186;0.363011;0.5837267;0.800091;471.8;0.1798256;False;11-11-2024 09:59:55:203;1731315595203;;
931;250;0.6067239;0.3630866;0.5452287;0.7837145;471.6;0.1816334;False;11-11-2024 09:59:55:252;1731315595252;;
922;251;0.6006019;0.3636012;0.5526313;0.7990818;469.3;0.1821459;False;11-11-2024 09:59:55:301;1731315595301;;
922;252;0.6006209;0.3648888;0.6018381;0.8171439;467.8;0.1911922;False;11-11-2024 09:59:55:350;1731315595350;;
919;252;0.5986259;0.3650578;0.5683804;0.7997576;466.7;0.1851453;False;11-11-2024 09:59:55:400;1731315595400;;
920;252;0.5995684;0.3657229;0.6152089;0.811689;466.7;0.1787045;False;11-11-2024 09:59:55:453;1731315595453;;
912;252;0.5943614;0.3661263;0.5489411;0.7869635;465.4;0.1758101;False;11-11-2024 09:59:55:505;1731315595505;;
912;253;0.5942999;0.3663931;0.5897341;0.7883155;466.3;0.1746539;False;11-11-2024 09:59:55:559;1731315595559;;
912;253;0.5941312;0.3664429;0.5807703;0.7935952;465.5;0.179853;False;11-11-2024 09:59:55:615;1731315595615;;
898;253;0.5850706;0.3667277;0.5185522;0.78214;463.6;0.1830132;False;11-11-2024 09:59:55:658;1731315595658;;
895;253;0.5829815;0.3668507;0.5425129;0.7864904;463.1;0.1864066;False;11-11-2024 09:59:55:696;1731315595696;;
893;253;0.5818512;0.3669738;0.5477461;0.7951757;462.0;0.1851906;False;11-11-2024 09:59:55:735;1731315595735;;
893;253;0.5817664;0.3674665;0.5792875;0.8071983;462.8;0.1881769;False;11-11-2024 09:59:55:775;1731315595775;;
893;254;0.5816932;0.3678913;0.5791762;0.8073769;462.6;0.1914541;False;11-11-2024 09:59:55:817;1731315595817;;
893;254;0.5816053;0.3680175;0.5748438;0.7924066;463.4;0.1754949;False;11-11-2024 09:59:55:856;1731315595856;;
897;254;0.5841708;0.3685143;0.6147603;0.8121132;463.4;0.1808011;False;11-11-2024 09:59:55:894;1731315595894;;
907;255;0.5909215;0.3691963;0.6428519;0.8181331;463.9;0.1845995;False;11-11-2024 09:59:55:935;1731315595935;;
922;255;0.6005361;0.3694986;0.666104;0.8123596;463.7;0.1924149;False;11-11-2024 09:59:55:975;1731315595975;;
932;255;0.6069661;0.3698143;0.6633697;0.8142379;464.5;0.1941007;False;11-11-2024 09:59:56:17;1731315596017;;
937;255;0.6105909;0.3699124;0.657111;0.8039437;465.2;0.1942893;False;11-11-2024 09:59:56:59;1731315596059;;
942;255;0.6135403;0.369936;0.6594718;0.8058613;465.0;0.1946451;False;11-11-2024 09:59:56:99;1731315596099;;
943;255;0.6143152;0.3700262;0.6463891;0.8030374;464.9;0.194345;False;11-11-2024 09:59:56:136;1731315596136;;
945;255;0.6157864;0.3701582;0.6547027;0.8096981;465.1;0.1851036;False;11-11-2024 09:59:56:177;1731315596177;;
948;255;0.6173276;0.3701691;0.6586748;0.8065892;466.3;0.1916671;False;11-11-2024 09:59:56:216;1731315596216;;
949;255;0.6179284;0.3703184;0.6517031;0.8016011;467.2;0.1890066;False;11-11-2024 09:59:56:260;1731315596260;;
951;256;0.6194187;0.370573;0.6628693;0.8133329;468.1;0.2019213;False;11-11-2024 09:59:56:299;1731315596299;;
952;256;0.6203741;0.3706551;0.6610192;0.8095748;469.4;0.189136;False;11-11-2024 09:59:56:338;1731315596338;;
953;256;0.6209139;0.3712293;0.658605;0.8239815;469.3;0.1930131;False;11-11-2024 09:59:56:377;1731315596377;;
954;256;0.6213744;0.3717105;0.6365938;0.7748625;468.3;0.194648;False;11-11-2024 09:59:56:415;1731315596415;;
950;256;0.6185234;0.3718538;0.591491;0.7502295;467.6;0.1920906;False;11-11-2024 09:59:56:452;1731315596452;;
945;256;0.6157109;0.3718564;0.5866978;0.7438386;468.1;0.1993562;False;11-11-2024 09:59:56:490;1731315596490;;
940;252;0.6126129;0.3656945;0.5787312;0.6327522;468.3;0.1974988;False;11-11-2024 09:59:56:527;1731315596527;;
939;252;0.611397;0.3657463;0.589744;0.7484691;469.7;0.2024623;False;11-11-2024 09:59:56:567;1731315596567;;
937;252;0.6105378;0.3657845;0.5897295;0.7484662;471.0;0.2024384;False;11-11-2024 09:59:56:601;1731315596601;;
934;252;0.6084116;0.3658346;0.5772547;0.745979;471.5;0.207778;False;11-11-2024 09:59:56:647;1731315596647;;
932;252;0.607325;0.3658788;0.581872;0.7392012;471.7;0.2057758;False;11-11-2024 09:59:56:692;1731315596692;;
932;252;0.6073835;0.365911;0.609678;0.7426823;473.8;0.2038745;False;11-11-2024 09:59:56:736;1731315596736;;
934;252;0.6085706;0.3659305;0.6284121;0.7444773;474.1;0.20793;False;11-11-2024 09:59:56:779;1731315596779;;
935;252;0.6088379;0.3659492;0.6188813;0.7488341;475.4;0.2094407;False;11-11-2024 09:59:56:824;1731315596824;;
935;252;0.6091284;0.3659723;0.6205549;0.7434573;476.4;0.2057705;False;11-11-2024 09:59:56:871;1731315596871;;
938;253;0.6109771;0.3666705;0.6403365;0.7779194;478.0;0.2093003;False;11-11-2024 09:59:56:918;1731315596918;;
938;254;0.6108553;0.3680782;0.6062534;0.7987392;478.3;0.2061208;False;11-11-2024 09:59:56:964;1731315596964;;
938;254;0.6108934;0.3687817;0.6179146;0.7912505;479.2;0.2075099;False;11-11-2024 09:59:57:8;1731315597008;;
940;255;0.6124393;0.3690917;0.6401323;0.7828893;479.9;0.2065227;False;11-11-2024 09:59:57:58;1731315597058;;
942;255;0.6134216;0.3694538;0.6382368;0.7867456;480.5;0.2054584;False;11-11-2024 09:59:57:111;1731315597111;;
943;255;0.6140522;0.3695117;0.636973;0.7786812;481.6;0.208676;False;11-11-2024 09:59:57:164;1731315597164;;
943;255;0.6142764;0.3697037;0.6333948;0.7591565;482.0;0.2128516;False;11-11-2024 09:59:57:217;1731315597217;;
942;255;0.6135802;0.369831;0.6025116;0.7509568;481.8;0.2082768;False;11-11-2024 09:59:57:267;1731315597267;;
943;255;0.6139344;0.369924;0.6320772;0.7513904;481.1;0.2193702;False;11-11-2024 09:59:57:313;1731315597313;;
944;255;0.6146131;0.3699428;0.6383898;0.762328;480.8;0.2074718;False;11-11-2024 09:59:57:359;1731315597359;;
944;255;0.6149524;0.3699872;0.6360367;0.7584645;480.7;0.2060698;False;11-11-2024 09:59:57:402;1731315597402;;
945;255;0.615537;0.3700224;0.6409361;0.7651234;479.9;0.2222506;False;11-11-2024 09:59:57:445;1731315597445;;
945;255;0.6158053;0.3700389;0.6381419;0.7615388;480.0;0.2157442;False;11-11-2024 09:59:57:486;1731315597486;;
946;255;0.6160212;0.3700777;0.638129;0.7448243;479.5;0.2021272;False;11-11-2024 09:59:57:528;1731315597528;;
947;255;0.6165825;0.3701424;0.6441445;0.7643839;479.0;0.2066533;False;11-11-2024 09:59:57:572;1731315597572;;
946;255;0.6159073;0.3701439;0.6050757;0.7404599;479.8;0.2098453;False;11-11-2024 09:59:57:613;1731315597613;;
