X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
382;141;0.2488714;0.2047312;0.2488714;0.4094624;460.2;0.1751517;False;11-11-2024 09:14:56:897;1731312896897;;
382;141;0.2488701;0.2052594;0.2483484;0.4358615;461.7;0.2053922;False;11-11-2024 09:14:56:984;1731312896984;;
604;179;0.3936835;0.2598199;0.5513971;0.756451;476.7;0.1697757;False;11-11-2024 09:14:57:56;1731312897056;;
674;177;0.4394474;0.2575714;0.5252539;0.4616527;485.7;0.2440201;False;11-11-2024 09:14:57:126;1731312897126;;
643;176;0.4189858;0.2558875;0.3059146;0.4467175;496.7;0.2141373;False;11-11-2024 09:14:57:166;1731312897166;;
645;176;0.4200789;0.2548949;0.431151;0.4535646;504.0;0.2179305;False;11-11-2024 09:14:57:206;1731312897206;;
646;190;0.4206209;0.2763236;0.4280596;0.7436391;516.7;0.2402488;False;11-11-2024 09:14:57:246;1731312897246;;
651;190;0.4238975;0.2763385;0.4547944;0.5546956;521.9;0.225866;False;11-11-2024 09:14:57:284;1731312897284;;
702;197;0.4573076;0.2853797;0.5680678;0.702052;530.6;0.225394;False;11-11-2024 09:14:57:323;1731312897323;;
779;204;0.5077078;0.29567;0.6436082;0.7404714;530.8;0.2720946;False;11-11-2024 09:14:57:360;1731312897360;;
821;200;0.5347156;0.2907013;0.6322076;0.4815887;532.1;0.2748706;False;11-11-2024 09:14:57:396;1731312897396;;
837;197;0.5450451;0.2860349;0.6045247;0.4688411;537.0;0.2495819;False;11-11-2024 09:14:57:433;1731312897433;;
794;194;0.5170509;0.2808444;0.3993684;0.4506643;534.1;0.2032972;False;11-11-2024 09:14:57:471;1731312897471;;
724;193;0.4716537;0.2807219;0.3254787;0.5296175;527.6;0.1815592;False;11-11-2024 09:14:57:507;1731312897507;;
723;191;0.4709464;0.2774986;0.4495484;0.4549955;526.8;0.2050672;False;11-11-2024 09:14:57:542;1731312897542;;
723;190;0.471277;0.2750681;0.4820052;0.4578878;520.4;0.2078008;False;11-11-2024 09:14:57:579;1731312897579;;
653;189;0.4257779;0.2749634;0.2860573;0.5048897;518.5;0.205291;False;11-11-2024 09:14:57:614;1731312897614;;
586;187;0.3817404;0.2714717;0.248439;0.431291;510.5;0.1717485;False;11-11-2024 09:14:57:650;1731312897650;;
541;184;0.3524922;0.2663529;0.2490187;0.4020219;511.3;0.2679301;False;11-11-2024 09:14:57:688;1731312897688;;
526;186;0.3426272;0.2706144;0.2802449;0.6182252;513.3;0.1722063;False;11-11-2024 09:14:57:723;1731312897723;;
652;184;0.4246989;0.2676574;0.5306061;0.4620955;513.1;0.2413102;False;11-11-2024 09:14:57:857;1731312897857;;
600;182;0.3910305;0.2643842;0.3205806;0.4435575;509.1;0.198852;False;11-11-2024 09:14:57:978;1731312897978;;
594;184;0.387265;0.2664674;0.3417862;0.5771214;505.6;0.1831167;False;11-11-2024 09:14:58:17;1731312898017;;
592;185;0.3857595;0.2686327;0.3531427;0.5873592;502.4;0.1893533;False;11-11-2024 09:14:58:57;1731312898057;;
581;183;0.3782686;0.2661304;0.312431;0.4428856;497.8;0.1817695;False;11-11-2024 09:14:58:96;1731312898096;;
546;181;0.3560923;0.2625675;0.2487308;0.4165608;495.0;0.1748144;False;11-11-2024 09:14:58:133;1731312898133;;
547;181;0.3563112;0.2622285;0.3613904;0.4667917;492.4;0.1971156;False;11-11-2024 09:14:58:173;1731312898173;;
522;180;0.3401918;0.2606153;0.2483954;0.4334905;489.9;0.182043;False;11-11-2024 09:14:58:211;1731312898211;;
505;178;0.3289391;0.2587149;0.2486377;0.4212574;487.4;0.1775682;False;11-11-2024 09:14:58:248;1731312898248;;
491;177;0.3202042;0.2568601;0.2487227;0.4169656;485.7;0.1596422;False;11-11-2024 09:14:58:289;1731312898289;;
483;176;0.3145391;0.2551831;0.2488743;0.409315;486.4;0.1670254;False;11-11-2024 09:14:58:323;1731312898323;;
476;175;0.3101515;0.2542844;0.2486894;0.4186511;486.7;0.1805011;False;11-11-2024 09:14:58:358;1731312898358;;
470;175;0.3066342;0.253535;0.2486878;0.4187282;486.2;0.1700777;False;11-11-2024 09:14:58:396;1731312898396;;
504;174;0.3281942;0.2531388;0.4102388;0.4514669;486.8;0.1990927;False;11-11-2024 09:14:58:436;1731312898436;;
493;174;0.3210976;0.2523086;0.2487446;0.4158613;487.4;0.166109;False;11-11-2024 09:14:58:473;1731312898473;;
485;173;0.3158304;0.2516926;0.2487257;0.4168168;487.2;0.1627527;False;11-11-2024 09:14:58:509;1731312898509;;
478;173;0.3117014;0.2511985;0.248718;0.4172073;486.7;0.1689934;False;11-11-2024 09:14:58:546;1731312898546;;
473;173;0.3083621;0.2504572;0.2488611;0.4099815;486.5;0.1655034;False;11-11-2024 09:14:58:586;1731312898586;;
469;172;0.3059467;0.2500038;0.248814;0.4123586;487.1;0.1630951;False;11-11-2024 09:14:58:623;1731312898623;;
467;172;0.3041056;0.2491112;0.2490569;0.4000972;486.2;0.1498469;False;11-11-2024 09:14:58:659;1731312898659;;
466;172;0.3036276;0.2493958;0.2953305;0.5065497;487.0;0.1701993;False;11-11-2024 09:14:58:697;1731312898697;;
463;171;0.3014931;0.2486711;0.2487673;0.4147151;487.9;0.1649514;False;11-11-2024 09:14:58:736;1731312898736;;
460;171;0.2998231;0.2484457;0.2485826;0.4240397;492.7;0.1579929;False;11-11-2024 09:14:58:773;1731312898773;;
460;171;0.2997634;0.2482456;0.2634188;0.4382628;494.2;0.1500805;False;11-11-2024 09:14:58:808;1731312898808;;
458;171;0.2984998;0.2476286;0.2487993;0.4130988;491.5;0.1676274;False;11-11-2024 09:14:58:845;1731312898845;;
537;171;0.3497124;0.2479491;0.4781191;0.5058571;489.2;0.1757684;False;11-11-2024 09:14:58:882;1731312898882;;
521;173;0.3396266;0.2506073;0.2459835;0.5552502;494.9;0.1730643;False;11-11-2024 09:14:58:922;1731312898922;;
588;189;0.3831688;0.2744678;0.4996702;0.7543871;495.0;0.2277719;False;11-11-2024 09:14:58:958;1731312898958;;
617;190;0.4021466;0.2760998;0.4740658;0.6007143;494.0;0.1789377;False;11-11-2024 09:14:58:995;1731312898995;;
578;190;0.3765973;0.276333;0.2457055;0.5692822;493.7;0.1612097;False;11-11-2024 09:14:59:30;1731312899030;;
551;193;0.3592976;0.2798109;0.2441503;0.6477939;493.4;0.1607296;False;11-11-2024 09:14:59:63;1731312899063;;
626;202;0.4078287;0.2930022;0.5324447;0.7514108;489.3;0.1493063;False;11-11-2024 09:14:59:100;1731312899100;;
661;210;0.4307041;0.30525;0.5136309;0.776668;485.4;0.1637417;False;11-11-2024 09:14:59:137;1731312899137;;
750;217;0.4885677;0.3153073;0.625742;0.7881042;483.4;0.1641364;False;11-11-2024 09:14:59:173;1731312899173;;
778;221;0.5065433;0.3202244;0.576517;0.7602692;481.1;0.1624576;False;11-11-2024 09:14:59:209;1731312899209;;
803;219;0.5233966;0.3169795;0.5936089;0.5634946;477.3;0.1563405;False;11-11-2024 09:14:59:246;1731312899246;;
817;218;0.5322679;0.3161735;0.5829221;0.5979884;475.1;0.1542646;False;11-11-2024 09:14:59:282;1731312899282;;
818;216;0.5328621;0.3140283;0.5412287;0.5643811;473.4;0.1613974;False;11-11-2024 09:14:59:319;1731312899319;;
821;216;0.5345438;0.3139942;0.5548794;0.6200393;473.1;0.1604588;False;11-11-2024 09:14:59:357;1731312899357;;
728;225;0.4743999;0.3259647;0.31383;0.8109616;475.8;0.1603391;False;11-11-2024 09:14:59:394;1731312899394;;
684;230;0.4458952;0.3329754;0.33561;0.7961772;476.2;0.1159457;True;11-11-2024 09:14:59:430;1731312899430;;
599;231;0.3900588;0.3343488;0.2426379;0.7369813;477.9;0.108869;True;11-11-2024 09:14:59:467;1731312899467;;
547;220;0.3562539;0.319333;0.2475413;0.4766075;478.2;0.1378844;False;11-11-2024 09:14:59:505;1731312899505;;
515;208;0.3355859;0.3020635;0.2486541;0.4204325;477.1;0.1592386;False;11-11-2024 09:14:59:541;1731312899541;;
486;199;0.3164532;0.2882559;0.2482944;0.4385904;476.7;0.1794127;False;11-11-2024 09:14:59:599;1731312899599;;
473;193;0.3079556;0.2798385;0.2486938;0.4184265;475.5;0.177277;False;11-11-2024 09:14:59:635;1731312899635;;
519;191;0.3382563;0.2765621;0.4554666;0.4555145;481.2;0.1537919;False;11-11-2024 09:14:59:673;1731312899673;;
519;189;0.3382894;0.274409;0.3432332;0.4639984;484.1;0.184302;False;11-11-2024 09:14:59:713;1731312899713;;
499;186;0.32537;0.2703443;0.248562;0.4250797;483.6;0.1771013;False;11-11-2024 09:14:59:749;1731312899749;;
485;183;0.3163605;0.2655658;0.2490054;0.402696;485.3;0.1789256;False;11-11-2024 09:14:59:786;1731312899786;;
475;181;0.3096301;0.2624584;0.24884;0.4110486;489.0;0.1807908;False;11-11-2024 09:14:59:823;1731312899823;;
466;197;0.3034694;0.286424;0.2432128;0.7636598;488.1;0.1871584;False;11-11-2024 09:14:59:861;1731312899861;;
463;216;0.301598;0.3128112;0.2615065;0.8343894;486.5;0.1669378;False;11-11-2024 09:14:59:898;1731312899898;;
468;223;0.3049365;0.3233478;0.3378914;0.7771478;485.1;0.1843349;False;11-11-2024 09:14:59:935;1731312899935;;
486;229;0.3169255;0.3323375;0.3859869;0.7894146;483.3;0.1785413;False;11-11-2024 09:14:59:973;1731312899973;;
470;239;0.3062746;0.3470502;0.2441126;0.833721;483.0;0.1679703;False;11-11-2024 09:15:00:31;1731312900031;;
573;240;0.3732848;0.3484381;0.5262333;0.7553057;485.1;0.1795909;False;11-11-2024 09:15:00:68;1731312900068;;
666;241;0.4338551;0.349189;0.573477;0.7471092;485.9;0.1672422;False;11-11-2024 09:15:00:107;1731312900107;;
732;241;0.4769357;0.3491522;0.5879596;0.6945685;486.2;0.171635;False;11-11-2024 09:15:00:145;1731312900145;;
779;241;0.507209;0.3491747;0.6004266;0.7063209;486.4;0.1655423;False;11-11-2024 09:15:00:183;1731312900183;;
849;242;0.5530042;0.3502202;0.6661184;0.7551594;487.4;0.1752587;False;11-11-2024 09:15:00:223;1731312900223;;
870;242;0.5666405;0.3504106;0.6241575;0.7336618;488.9;0.1751393;False;11-11-2024 09:15:00:262;1731312900262;;
887;242;0.5777791;0.3511951;0.6322126;0.7567324;489.7;0.1714445;False;11-11-2024 09:15:00:300;1731312900300;;
905;242;0.5892194;0.3508326;0.6476617;0.6834309;490.7;0.1797923;False;11-11-2024 09:15:00:339;1731312900339;;
902;242;0.5874524;0.3507305;0.5439464;0.6928764;491.1;0.1668941;False;11-11-2024 09:15:00:378;1731312900378;;
836;244;0.5444766;0.3535288;0.4018337;0.7921099;490.5;0.1706363;False;11-11-2024 09:15:00:417;1731312900417;;
672;244;0.4377259;0.3543467;0.2428915;0.7641865;488.4;0.1481124;False;11-11-2024 09:15:00:456;1731312900456;;
618;229;0.4025532;0.3315437;0.2970713;0.4657557;491.0;0.1232182;True;11-11-2024 09:15:00:495;1731312900495;;
587;227;0.3821706;0.3298295;0.3028054;0.6071638;496.5;0.1033936;True;11-11-2024 09:15:00:534;1731312900534;;
538;214;0.3504447;0.3106749;0.2484227;0.4321139;549.9;0.08914011;True;11-11-2024 09:15:00:573;1731312900573;;
506;208;0.3299781;0.3016423;0.2477415;0.4665012;586.1;0.08266893;True;11-11-2024 09:15:00:612;1731312900612;;
497;202;0.3241579;0.2924332;0.2813006;0.4402145;617.3;0.08546507;True;11-11-2024 09:15:00:650;1731312900650;;
