X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
240;138;0.3023013;0.3554922;0.3023013;0.7109843;382.7;0.1964733;False;11-11-2024 22:37:20:711;1731361040711;;
237;136;0.2979904;0.350003;0.2490043;0.5887656;383.5;0.173961;False;11-11-2024 22:37:20:785;1731361040785;;
237;136;0.2980223;0.3499407;0.2996553;0.6804954;384.3;0.1592407;False;11-11-2024 22:37:20:841;1731361040841;;
232;136;0.2917008;0.3498489;0.2164452;0.6646735;385.5;0.1752795;False;11-11-2024 22:37:20:888;1731361040888;;
231;125;0.2907129;0.3219042;0.2502951;0.337589;387.0;0.1970905;False;11-11-2024 22:37:20:935;1731361040935;;
231;118;0.2899586;0.3034538;0.2502248;0.3411394;387.5;0.1980045;False;11-11-2024 22:37:20:980;1731361040980;;
230;111;0.2895055;0.2860661;0.2513406;0.2848093;387.9;0.1981529;False;11-11-2024 22:37:21:18;1731361041018;;
230;106;0.288793;0.2727958;0.2440018;0.2741961;388.7;0.1866032;False;11-11-2024 22:37:21:53;1731361041053;;
229;103;0.2884885;0.2660996;0.2505337;0.3255445;387.4;0.1996875;False;11-11-2024 22:37:21:96;1731361041096;;
229;101;0.2882628;0.2613668;0.2505342;0.3255167;386.2;0.1999106;False;11-11-2024 22:37:21:134;1731361041134;;
229;96;0.28818;0.2461696;0.2531103;0.1954671;387.0;0.2017133;False;11-11-2024 22:37:21:173;1731361041173;;
229;93;0.288085;0.2391341;0.252267;0.2380406;386.4;0.1936199;False;11-11-2024 22:37:21:210;1731361041210;;
229;91;0.2880156;0.2341756;0.2522837;0.2371985;385.8;0.1937071;False;11-11-2024 22:37:21:244;1731361041244;;
229;91;0.2877722;0.2338106;0.2479461;0.4561746;384.6;0.1986887;False;11-11-2024 22:37:21:281;1731361041281;;
229;91;0.2875998;0.2335642;0.2479459;0.4561815;383.5;0.1988541;False;11-11-2024 22:37:21:314;1731361041314;;
227;88;0.2851861;0.2277621;0.2236287;0.2726805;384.5;0.1936231;False;11-11-2024 22:37:21:374;1731361041374;;
226;88;0.2836649;0.227071;0.2227743;0.3695942;385.0;0.1995484;False;11-11-2024 22:37:21:422;1731361041422;;
226;95;0.2839105;0.2443826;0.2889143;0.6952479;385.2;0.171523;False;11-11-2024 22:37:21:461;1731361041461;;
228;98;0.2860909;0.2532949;0.3175122;0.656323;388.2;0.1897776;False;11-11-2024 22:37:21:501;1731361041501;;
228;100;0.2861026;0.2568842;0.2866862;0.6238188;390.9;0.1899568;False;11-11-2024 22:37:21:532;1731361041532;;
228;101;0.2873109;0.2603109;0.3149953;0.631093;390.8;0.1912812;False;11-11-2024 22:37:21:567;1731361041567;;
229;102;0.2884099;0.2627206;0.3190119;0.6302231;390.7;0.1914017;False;11-11-2024 22:37:21:599;1731361041599;;
271;124;0.1768484;0.1749237;0.2469022;0.5088732;389.1;0.1805452;False;11-11-2024 22:37:21:705;1731361041705;;
347;171;0.226248;0.247484;0.3347408;0.7598653;389.8;0.1774509;False;11-11-2024 22:37:21:779;1731361041779;;
347;177;0.2263544;0.2567346;0.2379159;0.6461695;390.1;0.1895509;False;11-11-2024 22:37:21:828;1731361041828;;
347;179;0.2263938;0.2599142;0.2312993;0.6111394;390.3;0.187625;False;11-11-2024 22:37:21:874;1731361041874;;
347;180;0.2261714;0.2610197;0.2190589;0.5905609;390.5;0.187874;False;11-11-2024 22:37:21:917;1731361041917;;
346;180;0.2255832;0.2606069;0.2119718;0.5069989;389.5;0.1849396;False;11-11-2024 22:37:21:966;1731361041966;;
347;180;0.2264318;0.2608008;0.2458894;0.5600003;389.2;0.1782114;False;11-11-2024 22:37:22:14;1731361042014;;
348;182;0.2269085;0.2638704;0.2446097;0.6246063;388.4;0.1877128;False;11-11-2024 22:37:22:54;1731361042054;;
365;196;0.2378818;0.2836491;0.3114039;0.7812016;389.0;0.1936711;False;11-11-2024 22:37:22:93;1731361042093;;
