X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
420;148;0.5276487;0.3805692;0.5276487;0.7611384;405.4;0.1320774;True;11-11-2024 09:13:28:584;1731312808584;;
385;148;0.4837925;0.3805403;0.3720169;0.7546645;406.6;0.1636291;False;11-11-2024 09:13:28:741;1731312808741;;
370;148;0.4659609;0.3805909;0.350178;0.7709468;405.7;0.1729179;False;11-11-2024 09:13:28:813;1731312808813;;
352;148;0.4426188;0.3799756;0.3028217;0.7194045;407.8;0.168909;False;11-11-2024 09:13:28:876;1731312808876;;
342;148;0.429677;0.3799694;0.3066653;0.7577323;408.3;0.1737127;False;11-11-2024 09:13:28:934;1731312808934;;
392;149;0.4935573;0.38366;0.6560289;0.8653574;410.4;0.1134279;True;11-11-2024 09:13:28:994;1731312808994;;
419;150;0.5272551;0.3851453;0.6500993;0.8440292;410.9;0.1104956;True;11-11-2024 09:13:29:51;1731312809051;;
419;150;0.5270504;0.3851627;0.5097353;0.7964028;410.7;0.1455419;False;11-11-2024 09:13:29:88;1731312809088;;
398;150;0.5010928;0.3851897;0.3318592;0.7756107;410.8;0.1687099;False;11-11-2024 09:13:29:124;1731312809124;;
391;150;0.4912333;0.3850715;0.3762575;0.7563954;410.9;0.1599624;False;11-11-2024 09:13:29:159;1731312809159;;
380;150;0.4781251;0.3848926;0.3444742;0.7490002;411.4;0.1630245;False;11-11-2024 09:13:29:195;1731312809195;;
371;150;0.4665573;0.3848362;0.3363927;0.7584526;411.9;0.1675605;False;11-11-2024 09:13:29:231;1731312809231;;
361;150;0.4537772;0.3847653;0.3116058;0.7545205;412.3;0.1730762;False;11-11-2024 09:13:29:264;1731312809264;;
352;149;0.4428118;0.3846021;0.3044749;0.7430937;410.7;0.1748332;False;11-11-2024 09:13:29:297;1731312809297;;
346;149;0.4354006;0.3844436;0.3131083;0.7413955;409.9;0.1795667;False;11-11-2024 09:13:29:331;1731312809331;;
340;149;0.4282869;0.3838592;0.3048904;0.7137945;408.8;0.1765849;False;11-11-2024 09:13:29:366;1731312809366;;
336;149;0.4221808;0.3837985;0.3027982;0.7435018;409.1;0.1786316;False;11-11-2024 09:13:29:402;1731312809402;;
334;149;0.4204183;0.3837695;0.3261246;0.7462102;408.4;0.1820313;False;11-11-2024 09:13:29:435;1731312809435;;
331;149;0.4159224;0.383689;0.2997048;0.7385322;407.7;0.1705143;False;11-11-2024 09:13:29:469;1731312809469;;
324;149;0.4073384;0.3836402;0.2673702;0.7409122;408.1;0.1761788;False;11-11-2024 09:13:29:503;1731312809503;;
318;149;0.4004362;0.3830802;0.2654755;0.7050429;407.7;0.175673;False;11-11-2024 09:13:29:537;1731312809537;;
311;149;0.3914922;0.3828918;0.2434474;0.7206864;408.0;0.1739693;False;11-11-2024 09:13:29:570;1731312809570;;
310;149;0.3895903;0.3828574;0.281249;0.7439037;407.5;0.175818;False;11-11-2024 09:13:29:602;1731312809602;;
308;149;0.3872626;0.3827509;0.2741176;0.7255713;408.1;0.1776574;False;11-11-2024 09:13:29:634;1731312809634;;
307;149;0.3869164;0.3825045;0.2985229;0.7135892;408.3;0.1750546;False;11-11-2024 09:13:29:667;1731312809667;;
307;149;0.386644;0.3823122;0.2985139;0.7135878;408.4;0.1750458;False;11-11-2024 09:13:29:698;1731312809698;;
302;149;0.3801868;0.3822962;0.24257;0.7275743;408.5;0.1843101;False;11-11-2024 09:13:29:732;1731312809732;;
301;149;0.3785811;0.3822334;0.3155917;0.7410379;407.7;0.1696921;False;11-11-2024 09:13:29:765;1731312809765;;
300;149;0.3771835;0.3821893;0.3184662;0.7384273;406.8;0.1801448;False;11-11-2024 09:13:29:798;1731312809798;;
300;149;0.3769218;0.3821467;0.2926382;0.7398798;407.1;0.1768187;False;11-11-2024 09:13:29:832;1731312809832;;
299;148;0.3763706;0.3819329;0.2894788;0.7162853;408.5;0.1663248;False;11-11-2024 09:13:29:873;1731312809873;;
298;148;0.3746209;0.3818772;0.2742483;0.7410901;409.2;0.1874299;False;11-11-2024 09:13:29:907;1731312809907;;
297;148;0.3738569;0.3818296;0.3627663;0.7400393;409.7;0.1813051;False;11-11-2024 09:13:29:944;1731312809944;;
296;148;0.3729746;0.381775;0.3568913;0.7437738;409.0;0.1724516;False;11-11-2024 09:13:29:987;1731312809987;;
296;148;0.3721965;0.3817339;0.3407263;0.7440571;409.2;0.1692353;False;11-11-2024 09:13:30:24;1731312810024;;
295;148;0.3715704;0.3817052;0.3511674;0.7423736;409.3;0.1767192;False;11-11-2024 09:13:30:63;1731312810063;;
295;148;0.3710946;0.3816663;0.3437814;0.7520915;408.7;0.1754939;False;11-11-2024 09:13:30:102;1731312810102;;
295;148;0.3707009;0.381653;0.3220214;0.7431248;410.5;0.1805937;False;11-11-2024 09:13:30:143;1731312810143;;
294;148;0.3704238;0.3816453;0.3359638;0.7405434;411.7;0.180387;False;11-11-2024 09:13:30:183;1731312810183;;
294;148;0.3703093;0.3816334;0.3274435;0.7397658;412.7;0.1765872;False;11-11-2024 09:13:30:224;1731312810224;;
292;148;0.367131;0.3814631;0.2861063;0.7224202;412.0;0.1808755;False;11-11-2024 09:13:30:259;1731312810259;;
291;148;0.3664841;0.3814451;0.3097607;0.7405157;412.1;0.1772873;False;11-11-2024 09:13:30:297;1731312810297;;
291;148;0.366372;0.3814084;0.31709;0.7501274;411.7;0.1746649;False;11-11-2024 09:13:30:334;1731312810334;;
291;148;0.3659888;0.3813883;0.330071;0.7448313;410.5;0.1674412;False;11-11-2024 09:13:30:370;1731312810370;;
291;148;0.3658482;0.3813712;0.3179541;0.7385675;411.9;0.17775;False;11-11-2024 09:13:30:406;1731312810406;;
291;148;0.3656388;0.3813487;0.3158292;0.7468815;412.5;0.1834808;False;11-11-2024 09:13:30:439;1731312810439;;
291;148;0.3664018;0.3810771;0.3799877;0.7162435;412.1;0.1818934;False;11-11-2024 09:13:30:476;1731312810476;;
291;148;0.3661496;0.3810585;0.3433639;0.740702;412.6;0.1780587;False;11-11-2024 09:13:30:509;1731312810509;;
291;148;0.3660977;0.3810244;0.3316376;0.746385;413.7;0.1820828;False;11-11-2024 09:13:30:546;1731312810546;;
291;148;0.3659063;0.380997;0.3576757;0.7469432;414.2;0.1834611;False;11-11-2024 09:13:30:583;1731312810583;;
291;148;0.3658955;0.3809748;0.3371278;0.7551784;414.8;0.192752;False;11-11-2024 09:13:30:617;1731312810617;;
291;148;0.3657656;0.3809448;0.3434969;0.7381619;414.7;0.1925396;False;11-11-2024 09:13:30:652;1731312810652;;
290;148;0.3646975;0.3809398;0.3176824;0.7429073;415.2;0.1936311;False;11-11-2024 09:13:30:696;1731312810696;;
290;148;0.3645049;0.3809307;0.3552572;0.744218;413.7;0.1861594;False;11-11-2024 09:13:30:735;1731312810735;;
289;148;0.3638597;0.3809092;0.3222167;0.7501559;413.8;0.183518;False;11-11-2024 09:13:30:772;1731312810772;;
288;148;0.362132;0.3808932;0.3042502;0.7491169;413.0;0.176935;False;11-11-2024 09:13:30:811;1731312810811;;
287;148;0.3614835;0.3808826;0.3151762;0.7478312;413.1;0.186294;False;11-11-2024 09:13:30:850;1731312810850;;
287;148;0.3612037;0.380821;0.3369159;0.736725;413.0;0.1876834;False;11-11-2024 09:13:30:893;1731312810893;;
287;148;0.3616343;0.3808178;0.3712359;0.74363;413.3;0.1860244;False;11-11-2024 09:13:30:935;1731312810935;;
291;148;0.3660162;0.3813129;0.4190993;0.7987592;413.4;0.1683451;False;11-11-2024 09:13:30:975;1731312810975;;
360;150;0.4531237;0.3863878;0.6436001;0.8785039;414.7;0.1292243;True;11-11-2024 09:13:31:48;1731312811048;;
400;151;0.5025222;0.3880261;0.6599315;0.8528892;416.1;0.1179587;True;11-11-2024 09:13:31:114;1731312811114;;
391;151;0.4920851;0.3880985;0.4048606;0.7862574;417.4;0.1583026;False;11-11-2024 09:13:31:162;1731312811162;;
374;151;0.470833;0.3881061;0.3360555;0.7772275;417.3;0.1686614;False;11-11-2024 09:13:31:205;1731312811205;;
364;151;0.4575682;0.3879566;0.3420273;0.7608266;417.7;0.1718844;False;11-11-2024 09:13:31:246;1731312811246;;
353;151;0.4437643;0.3878749;0.3223405;0.7643027;417.9;0.1711436;False;11-11-2024 09:13:31:289;1731312811289;;
337;151;0.4241157;0.3878494;0.2775288;0.7696155;417.0;0.1689326;False;11-11-2024 09:13:31:331;1731312811331;;
384;151;0.482969;0.387846;0.6750635;0.7741657;418.6;0.1776153;False;11-11-2024 09:13:31:372;1731312811372;;
421;151;0.5300943;0.3878254;0.7104613;0.7686978;420.0;0.1907788;False;11-11-2024 09:13:31:410;1731312811410;;
446;151;0.5605909;0.3877995;0.7029643;0.7669241;420.8;0.1929033;False;11-11-2024 09:13:31:452;1731312811452;;
463;151;0.5818298;0.3877962;0.7085239;0.772311;422.2;0.1957746;False;11-11-2024 09:13:31:490;1731312811490;;
489;151;0.6150649;0.3877965;0.7882843;0.7764772;424.5;0.1888071;False;11-11-2024 09:13:31:524;1731312811524;;
508;151;0.6383976;0.387813;0.7892041;0.7841895;426.6;0.1886496;False;11-11-2024 09:13:31:557;1731312811557;;
518;151;0.6517615;0.3878106;0.7671657;0.7731386;427.4;0.1980091;False;11-11-2024 09:13:31:592;1731312811592;;
531;151;0.6676845;0.3877767;0.7959619;0.7639257;428.8;0.1930477;False;11-11-2024 09:13:31:628;1731312811628;;
545;151;0.6848655;0.3877766;0.8226579;0.7754087;428.1;0.1945399;False;11-11-2024 09:13:31:663;1731312811663;;
550;151;0.6913481;0.38777;0.7870306;0.7696683;429.3;0.1941458;False;11-11-2024 09:13:31:699;1731312811699;;
551;151;0.6928992;0.3877695;0.7529685;0.7729579;431.1;0.1922377;False;11-11-2024 09:13:31:735;1731312811735;;
556;151;0.6993042;0.3877606;0.8015254;0.7682282;433.2;0.1982465;False;11-11-2024 09:13:31:768;1731312811768;;
560;151;0.7037217;0.3877452;0.7976022;0.765535;432.6;0.1964061;False;11-11-2024 09:13:31:801;1731312811801;;
561;151;0.7056013;0.3876945;0.7771105;0.7594402;432.7;0.2006725;False;11-11-2024 09:13:31:844;1731312811844;;
566;151;0.7121791;0.387674;0.8204228;0.7625138;433.1;0.1958772;False;11-11-2024 09:13:31:882;1731312811882;;
568;151;0.7139866;0.3876723;0.7914675;0.7744586;432.7;0.2033222;False;11-11-2024 09:13:31:924;1731312811924;;
569;151;0.7152546;0.3877267;0.7917356;0.7877774;431.7;0.1955531;False;11-11-2024 09:13:31:962;1731312811962;;
570;151;0.7166959;0.387775;0.7957025;0.788;431.7;0.1917398;False;11-11-2024 09:13:32:0;1731312812000;;
571;151;0.7179263;0.3877825;0.7967997;0.7808896;432.0;0.1846495;False;11-11-2024 09:13:32:39;1731312812039;;
