X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
553;183;0.649686;0.3831166;0.649686;0.7662333;626.6;0.1730902;False;11/7/2024 1:41:42 PM:603;1730983302603;;
553;177;0.6492578;0.3693931;0.64618;0.7128126;624.3;0.2153767;False;11/7/2024 1:41:42 PM:890;1730983302890;;
551;177;0.6468063;0.3698877;0.6390629;0.7436334;620.2;0.2113428;False;11/7/2024 1:41:43 PM:203;1730983303203;;
594;171;0.6979734;0.3577634;0.7168423;0.6912569;618.6;0.2181636;False;11/7/2024 1:41:43 PM:527;1730983303527;;
607;157;0.7125257;0.3283497;0.7247942;0.6225653;616.3;0.2239218;False;11/7/2024 1:41:43 PM:846;1730983303846;;
605;164;0.7110444;0.3429022;0.7060839;0.7099569;612.9;0.2126546;False;11/7/2024 1:41:44 PM:160;1730983304160;;
494;171;0.580359;0.3578429;0.5565977;0.7429722;612.8;0.2258636;False;11/7/2024 1:41:44 PM:486;1730983304486;;
492;171;0.5782751;0.3579165;0.576376;0.7165533;609.9;0.2098931;False;11/7/2024 1:41:44 PM:812;1730983304812;;
542;175;0.6363548;0.3649888;0.6588997;0.7515875;609.6;0.1904978;False;11/7/2024 1:41:45 PM:117;1730983305117;;
577;167;0.6780878;0.3487844;0.6963871;0.6740705;608.5;0.2222068;False;11/7/2024 1:41:45 PM:450;1730983305450;;
263;181;0.3096172;0.3774363;0.283325;0.7860835;606.9;0.2168233;False;11/7/2024 1:41:45 PM:766;1730983305766;;
249;184;0.2923506;0.3833486;0.2885121;0.7857993;605.8;0.2178963;False;11/7/2024 1:41:46 PM:78;1730983306078;;
393;170;0.4614122;0.3543355;0.4907536;0.6792763;604.5;0.221979;False;11/7/2024 1:41:46 PM:405;1730983306405;;
403;150;0.4737899;0.3140061;0.4816312;0.5942473;603.8;0.2285672;False;11/7/2024 1:41:46 PM:732;1730983306732;;
425;155;0.4991991;0.3238378;0.5141916;0.6717655;603.8;0.2298528;False;11/7/2024 1:41:47 PM:56;1730983307056;;
558;177;0.6558558;0.3697694;0.6801591;0.7778641;600.3;0.2132802;False;11/7/2024 1:41:47 PM:366;1730983307366;;
558;178;0.6556156;0.370903;0.6554371;0.7500491;598.9;0.2201906;False;11/7/2024 1:41:47 PM:699;1730983307699;;
572;183;0.6716872;0.3814722;0.6830463;0.7877725;598.1;0.222325;False;11/7/2024 1:41:48 PM:10;1730983308010;;
476;182;0.5590741;0.3805692;0.5356447;0.7562477;600.2;0.1874457;False;11/7/2024 1:41:48 PM:328;1730983308328;;
531;184;0.6243628;0.3836311;0.6504148;0.7819403;600.0;0.2021247;False;11/7/2024 1:41:48 PM:640;1730983308640;;
532;183;0.6247093;0.3828809;0.6286132;0.7608944;599.0;0.2084026;False;11/7/2024 1:41:48 PM:960;1730983308960;;
561;184;0.6585222;0.3837152;0.6773721;0.7752265;597.1;0.2103399;False;11/7/2024 1:41:49 PM:284;1730983309284;;
562;183;0.660515;0.383104;0.6679558;0.7611637;594.8;0.2117754;False;11/7/2024 1:41:49 PM:613;1730983309613;;
562;181;0.6600121;0.3785848;0.6582596;0.7398404;594.3;0.217853;False;11/7/2024 1:41:49 PM:933;1730983309933;;
545;181;0.6398469;0.3787419;0.6245686;0.7588076;592.8;0.2231928;False;11/7/2024 1:41:50 PM:258;1730983310258;;
512;180;0.6017851;0.3768678;0.5821566;0.741222;593.0;0.224372;False;11/7/2024 1:41:50 PM:567;1730983310567;;
442;181;0.5194873;0.3789758;0.4975171;0.76725;591.1;0.2251484;False;11/7/2024 1:41:50 PM:898;1730983310898;;
447;181;0.525555;0.3787235;0.5412645;0.7540218;586.9;0.2264017;False;11/7/2024 1:41:51 PM:218;1730983311218;;
452;184;0.5312349;0.3851761;0.5471431;0.7890131;585.6;0.2024424;False;11/7/2024 1:41:51 PM:550;1730983311550;;
434;185;0.5100423;0.3867797;0.4974085;0.78828;583.6;0.2229234;False;11/7/2024 1:41:51 PM:863;1730983311863;;
409;185;0.4808446;0.3868943;0.4640045;0.7748445;582.5;0.2279032;False;11/7/2024 1:41:52 PM:160;1730983312160;;
228;185;0.2678052;0.3859879;0.2429364;0.765505;585.0;0.2147263;False;11/7/2024 1:41:52 PM:484;1730983312484;;
222;183;0.2608103;0.3814866;0.2577524;0.7453085;588.9;0.2390364;False;11/7/2024 1:41:52 PM:799;1730983312799;;
223;182;0.2627343;0.3811015;0.2814255;0.7510841;593.4;0.2444832;False;11/7/2024 1:41:53 PM:123;1730983313123;;
217;150;0.2551485;0.3143182;0.2486062;0.5881487;595.6;0.2497063;False;11/7/2024 1:41:53 PM:438;1730983313438;;
226;171;0.2657547;0.3579448;0.2798228;0.7543571;598.5;0.2429448;False;11/7/2024 1:41:53 PM:762;1730983313762;;
229;167;0.2694961;0.3487825;0.2813759;0.6760946;602.3;0.2321697;False;11/7/2024 1:41:54 PM:76;1730983314076;;
216;167;0.2546734;0.348612;0.2432578;0.6928508;603.3;0.2263126;False;11/7/2024 1:41:54 PM:408;1730983314408;;
216;127;0.2539221;0.2651267;0.2499643;0.4894206;599.7;0.2201595;False;11/7/2024 1:41:54 PM:726;1730983314726;;
215;117;0.2531007;0.2437765;0.2477767;0.4647254;596.8;0.2304736;False;11/7/2024 1:41:55 PM:41;1730983315041;;
216;157;0.2537496;0.3280641;0.2561112;0.6971937;594.8;0.2128289;False;11/7/2024 1:41:55 PM:367;1730983315367;;
325;117;0.3815775;0.2443083;0.4051906;0.444194;595.0;0.2114196;False;11/7/2024 1:41:55 PM:684;1730983315684;;
326;112;0.3828271;0.2345243;0.3839862;0.4517694;593.4;0.1955139;False;11/7/2024 1:41:56 PM:9;1730983316009;;
304;107;0.3579453;0.2244138;0.338663;0.4262456;591.9;0.2083985;False;11/7/2024 1:41:56 PM:325;1730983316325;;
233;127;0.2746446;0.2661643;0.2512142;0.565477;592.1;0.2226672;False;11/7/2024 1:41:56 PM:641;1730983316641;;
252;115;0.2959004;0.2400487;0.3150519;0.4467672;592.8;0.2183221;False;11/7/2024 1:41:56 PM:960;1730983316960;;
221;147;0.2602782;0.3082447;0.2440337;0.6536821;594.4;0.2115888;False;11/7/2024 1:41:57 PM:279;1730983317279;;
217;121;0.2555178;0.2534479;0.2477706;0.4650341;595.3;0.2194968;False;11/7/2024 1:41:57 PM:603;1730983317603;;
215;129;0.2533328;0.2700547;0.2457496;0.5670581;597.3;0.2150005;False;11/7/2024 1:41:57 PM:929;1730983317929;;
215;125;0.2529711;0.2607874;0.2470433;0.5017499;599.4;0.2272163;False;11/7/2024 1:41:58 PM:245;1730983318245;;
215;123;0.2528006;0.2570151;0.2471462;0.4965524;603.4;0.2278013;False;11/7/2024 1:41:58 PM:563;1730983318563;;
217;124;0.2547719;0.2588018;0.259192;0.5253511;602.8;0.2201504;False;11/7/2024 1:41:58 PM:880;1730983318880;;
215;119;0.253123;0.2490843;0.2475544;0.4759473;601.7;0.2268066;False;11/7/2024 1:41:59 PM:209;1730983319209;;
214;124;0.2522015;0.2598277;0.2462803;0.5402697;601.8;0.2096186;False;11/7/2024 1:41:59 PM:531;1730983319531;;
214;119;0.2521074;0.2499069;0.2475064;0.4783691;601.4;0.2123036;False;11/7/2024 1:41:59 PM:846;1730983319846;;
