X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
480;162;0.6026433;0.4163986;0.6026433;0.8327971;413.0;0.2002083;False;12-11-2024 11:50:53:877;1731408653877;;
497;162;0.6242827;0.4164329;0.7094963;0.8401522;421.6;0.1946127;False;12-11-2024 11:50:54:17;1731408654017;;
519;162;0.6511942;0.4154577;0.7739069;0.7869177;429.5;0.1832151;False;12-11-2024 11:50:54:108;1731408654108;;
519;162;0.6516763;0.4165071;0.6893955;0.8769971;436.1;0.1634327;False;12-11-2024 11:50:54:186;1731408654186;;
508;162;0.6378961;0.4158011;0.5770706;0.7961209;441.8;0.1939097;False;12-11-2024 11:50:54:285;1731408654285;;
512;162;0.643341;0.4162655;0.7094035;0.8645634;444.6;0.1824656;False;12-11-2024 11:50:54:344;1731408654344;;
508;161;0.637402;0.4143318;0.586394;0.7577778;447.8;0.1798928;False;12-11-2024 11:50:54:410;1731408654410;;
512;160;0.6429973;0.4125631;0.7046406;0.7476771;450.1;0.193419;False;12-11-2024 11:50:54:476;1731408654476;;
514;155;0.6454182;0.3980249;0.6991474;0.5683075;450.1;0.2456495;False;12-11-2024 11:50:54:523;1731408654523;;
511;148;0.6422591;0.3820337;0.6001978;0.5064568;450.9;0.2660894;False;12-11-2024 11:50:54:567;1731408654567;;
511;143;0.6414828;0.3686127;0.6204372;0.4867889;452.7;0.2520809;False;12-11-2024 11:50:54:610;1731408654610;;
510;139;0.6409972;0.3587465;0.6211052;0.4706993;454.3;0.2534523;False;12-11-2024 11:50:54:647;1731408654647;;
488;133;0.6125519;0.3420943;0.4574529;0.3849567;454.0;0.2515886;False;12-11-2024 11:50:54:686;1731408654686;;
471;128;0.5917038;0.3291435;0.4577111;0.3847777;453.8;0.2524601;False;12-11-2024 11:50:54:727;1731408654727;;
471;128;0.5921784;0.3303524;0.606907;0.6913934;453.9;0.2358972;False;12-11-2024 11:50:54:767;1731408654767;;
456;127;0.5730676;0.3281302;0.4371363;0.5022777;453.3;0.2460476;False;12-11-2024 11:50:54:806;1731408654806;;
458;128;0.5751534;0.3299807;0.6122217;0.7098658;455.4;0.2321434;False;12-11-2024 11:50:54:843;1731408654843;;
459;129;0.5766302;0.331707;0.6117692;0.72049;457.3;0.2328228;False;12-11-2024 11:50:54:877;1731408654877;;
460;128;0.5780981;0.3282273;0.6152323;0.5045785;459.0;0.1590492;False;12-11-2024 11:50:54:913;1731408654913;;
461;127;0.5791272;0.3267114;0.6144069;0.5290541;460.6;0.159863;False;12-11-2024 11:50:54:946;1731408654946;;
431;126;0.5408294;0.3231031;0.3574267;0.4800355;464.5;0.2149151;False;12-11-2024 11:50:54:982;1731408654982;;
414;120;0.5201222;0.3085496;0.3823783;0.3332297;464.6;0.2357487;False;12-11-2024 11:50:55:18;1731408655018;;
403;116;0.5064551;0.2985778;0.3827311;0.3332153;464.7;0.2366626;False;12-11-2024 11:50:55:50;1731408655050;;
378;114;0.4745818;0.2938702;0.3037336;0.3890769;465.3;0.2265204;False;12-11-2024 11:50:55:88;1731408655088;;
362;113;0.454994;0.2907057;0.3036786;0.3890654;465.7;0.2262945;False;12-11-2024 11:50:55:121;1731408655121;;
354;109;0.4449652;0.2799428;0.3358083;0.2886094;465.7;0.2006008;False;12-11-2024 11:50:55:160;1731408655160;;
349;105;0.4383581;0.2714089;0.3384764;0.2772171;465.6;0.2016586;False;12-11-2024 11:50:55:195;1731408655195;;
349;105;0.4380007;0.2709212;0.4138424;0.5254014;467.8;0.2069343;False;12-11-2024 11:50:55:231;1731408655231;;
