X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
1006;290;0.6554745;0.4197638;0.6554745;0.8395275;537.0;0.2607904;False;11-11-2024 22:22:14:826;1731360134826;;
899;288;0.5855978;0.4179734;0.4472784;0.7805651;534.5;0.1903297;False;11-11-2024 22:22:14:877;1731360134877;;
769;261;0.5007389;0.3782806;0.3392462;0.4910411;543.4;0.1410121;False;11-11-2024 22:22:14:918;1731360134918;;
752;261;0.489777;0.3783683;0.457193;0.7664652;556.7;0.1986224;False;11-11-2024 22:22:15:15;1731360135015;;
728;257;0.4743056;0.3723117;0.4079231;0.6414014;564.6;0.145331;False;11-11-2024 22:22:15:62;1731360135062;;
755;262;0.4918031;0.3796313;0.5837387;0.873463;571.7;0.1560082;False;11-11-2024 22:22:15:104;1731360135104;;
791;266;0.5151374;0.3863586;0.6230747;0.8929465;578.1;0.1562139;False;11-11-2024 22:22:15:144;1731360135144;;
791;266;0.5151396;0.3863849;0.515199;0.78332;583.0;0.1208976;True;11-11-2024 22:22:15:189;1731360135189;;
794;269;0.5172227;0.3896514;0.5545065;0.8660903;584.8;0.1157375;True;11-11-2024 22:22:15:234;1731360135234;;
814;269;0.5300556;0.3896697;0.6090693;0.8030468;587.2;0.08548747;True;11-11-2024 22:22:15:280;1731360135280;;
818;255;0.5327818;0.3703991;0.579129;0.566195;589.6;0.1257779;True;11-11-2024 22:22:15:323;1731360135323;;
818;253;0.5327107;0.3666503;0.5313861;0.6538049;593.8;0.0836852;True;11-11-2024 22:22:15:367;1731360135367;;
820;235;0.5340624;0.3413055;0.568905;0.4786189;595.0;0.06250882;True;11-11-2024 22:22:15:414;1731360135414;;
760;241;0.4948095;0.3496333;0.3808252;0.8242707;600.2;0.1486315;False;11-11-2024 22:22:15:455;1731360135455;;
685;229;0.4465996;0.3318446;0.3243796;0.4855371;599.6;0.1287392;True;11-11-2024 22:22:15:497;1731360135497;;
686;232;0.446903;0.3363515;0.4527952;0.7667382;604.4;0.1538952;False;11-11-2024 22:22:15:537;1731360135537;;
685;235;0.4465571;0.3406206;0.4430772;0.7573422;602.3;0.1622079;False;11-11-2024 22:22:15:619;1731360135619;;
675;232;0.4398718;0.3361175;0.3959738;0.5940109;601.3;0.1808909;False;11-11-2024 22:22:15:667;1731360135667;;
665;222;0.4330438;0.3218881;0.3800007;0.4790992;597.2;0.1621501;False;11-11-2024 22:22:15:707;1731360135707;;
624;185;0.4068668;0.2687368;0.3152864;0.2713793;597.4;0.1997404;False;11-11-2024 22:22:15:759;1731360135759;;
611;201;0.3982629;0.2911981;0.3394313;0.7771638;594.1;0.1880502;False;11-11-2024 22:22:15:808;1731360135808;;
