X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
121;157;0.4585353;0.4039046;0.4585353;0.8078091;297.3;0.4556283;False;12-11-2024 14:07:06:771;1731416826771;;
127;157;0.4821603;0.4036613;0.6298037;0.7891636;297.8;0.5122263;False;12-11-2024 14:07:06:969;1731416826969;;
127;157;0.4830335;0.4036563;0.5706945;0.7980297;296.6;0.478473;False;12-11-2024 14:07:07:53;1731416827053;;
127;158;0.48323;0.4060788;0.5548673;0.8888902;296.1;0.4373667;False;12-11-2024 14:07:07:115;1731416827115;;
129;158;0.4887514;0.4060908;0.633128;0.8167706;295.1;0.2687829;False;12-11-2024 14:07:07:185;1731416827185;;
129;158;0.4914381;0.4065399;0.6294031;0.8561559;294.7;0.2367291;False;12-11-2024 14:07:07:235;1731416827235;;
130;158;0.4933568;0.406635;0.628291;0.8409492;294.3;0.2603527;False;12-11-2024 14:07:07:284;1731416827284;;
130;158;0.4956231;0.4073186;0.6382485;0.8709087;294.5;0.259269;False;12-11-2024 14:07:07:339;1731416827339;;
131;158;0.4968837;0.407348;0.6315981;0.8387877;294.4;0.2891855;False;12-11-2024 14:07:07:394;1731416827394;;
131;158;0.4983677;0.4076497;0.6367834;0.8593435;294.1;0.3025851;False;12-11-2024 14:07:07:462;1731416827462;;
131;159;0.4996356;0.407714;0.6407847;0.8513144;294.4;0.282206;False;12-11-2024 14:07:07:524;1731416827524;;
132;159;0.501474;0.4077973;0.5610501;0.8371006;294.7;0.4264789;False;12-11-2024 14:07:07:585;1731416827585;;
132;159;0.5020967;0.4078315;0.5947687;0.841463;294.6;0.4608324;False;12-11-2024 14:07:07:643;1731416827643;;
132;159;0.5031176;0.4078957;0.5711417;0.8279137;294.4;0.4839471;False;12-11-2024 14:07:07:699;1731416827699;;
132;158;0.5036234;0.4075096;0.5204865;0.7890059;294.6;0.5059897;False;12-11-2024 14:07:07:748;1731416827748;;
132;158;0.5037177;0.4074267;0.5059395;0.8061442;293.8;0.5406707;False;12-11-2024 14:07:07:833;1731416827833;;
133;158;0.5039757;0.4073393;0.5296844;0.8005359;294.2;0.5044987;False;12-11-2024 14:07:07:886;1731416827886;;
133;158;0.5039605;0.4069418;0.5030906;0.7776345;294.5;0.5076687;False;12-11-2024 14:07:07:934;1731416827934;;
133;158;0.5040821;0.4069259;0.5257471;0.8028935;294.1;0.5179129;False;12-11-2024 14:07:07:996;1731416827996;;
133;158;0.5041733;0.4066702;0.517113;0.7801152;294.0;0.5040759;False;12-11-2024 14:07:08:46;1731416828046;;
133;158;0.5073346;0.4067932;0.6024692;0.8267646;294.2;0.517919;False;12-11-2024 14:07:08:106;1731416828106;;
133;158;0.5074785;0.4064261;0.5173004;0.7764877;293.9;0.5224479;False;12-11-2024 14:07:08:163;1731416828163;;
134;158;0.5080178;0.407095;0.5621212;0.8515401;293.9;0.5047606;False;12-11-2024 14:07:08:224;1731416828224;;
134;158;0.5089096;0.4073646;0.5760931;0.8424968;293.6;0.4972183;False;12-11-2024 14:07:08:281;1731416828281;;
134;159;0.5094481;0.4079095;0.5721275;0.857921;293.1;0.5130055;False;12-11-2024 14:07:08:344;1731416828344;;
134;159;0.5107909;0.4085831;0.5951521;0.8702148;292.8;0.3623938;False;12-11-2024 14:07:08:400;1731416828400;;
135;159;0.5146287;0.4086092;0.6399935;0.8441572;292.6;0.3890742;False;12-11-2024 14:07:08:456;1731416828456;;
136;159;0.5170012;0.4088131;0.6367459;0.858786;293.0;0.4128884;False;12-11-2024 14:07:08:505;1731416828505;;
136;159;0.5172347;0.4087857;0.5916619;0.8146193;293.6;0.4656121;False;12-11-2024 14:07:08:554;1731416828554;;
136;159;0.5172864;0.4088138;0.5979557;0.8335149;293.6;0.4874281;False;12-11-2024 14:07:08:607;1731416828607;;
136;159;0.5180864;0.4090016;0.6168972;0.8544195;294.1;0.4807329;False;12-11-2024 14:07:08:657;1731416828657;;
136;159;0.518199;0.409043;0.6044849;0.8326353;294.4;0.4625734;False;12-11-2024 14:07:08:709;1731416828709;;
136;159;0.5187606;0.4090785;0.5838265;0.8319357;294.8;0.4729647;False;12-11-2024 14:07:08:767;1731416828767;;
137;159;0.5199015;0.4091152;0.6228427;0.8417802;294.8;0.4861129;False;12-11-2024 14:07:08:822;1731416828822;;
137;159;0.5216548;0.4091444;0.6391867;0.8419762;294.8;0.4990461;False;12-11-2024 14:07:08:875;1731416828875;;
138;159;0.5245579;0.4098491;0.6622995;0.8778713;294.1;0.4866477;False;12-11-2024 14:07:08:929;1731416828929;;
138;159;0.5256223;0.4099187;0.571669;0.8344225;294.1;0.4958571;False;12-11-2024 14:07:08:983;1731416828983;;
138;159;0.5264353;0.4099317;0.5643544;0.8214727;293.7;0.502134;False;12-11-2024 14:07:09:42;1731416829042;;
139;159;0.5269673;0.4099616;0.5551096;0.8302139;293.7;0.4987403;False;12-11-2024 14:07:09:96;1731416829096;;
139;159;0.5271813;0.4099865;0.5359104;0.8301613;293.4;0.5214473;False;12-11-2024 14:07:09:158;1731416829158;;
139;159;0.5273706;0.4099894;0.5618991;0.8205627;293.0;0.5129732;False;12-11-2024 14:07:09:217;1731416829217;;
139;159;0.5271086;0.409867;0.5162555;0.8053768;292.7;0.5269451;False;12-11-2024 14:07:09:274;1731416829274;;
139;159;0.5271734;0.4098678;0.5595642;0.8202811;292.5;0.5151483;False;12-11-2024 14:07:09:332;1731416829332;;
139;159;0.5271907;0.4098972;0.5564431;0.8304878;291.7;0.5190293;False;12-11-2024 14:07:09:396;1731416829396;;
139;159;0.527068;0.4098887;0.5197825;0.8168797;291.5;0.5211923;False;12-11-2024 14:07:09:455;1731416829455;;
