X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
781;231;0.5086068;0.3351215;0.5086068;0.670243;447.8;0.1847764;False;17-11-2024 20:12:23:444;1731870743444;;
765;238;0.4983934;0.3446841;0.4622635;0.7638097;440.3;0.16695;False;17-11-2024 20:12:23:710;1731870743710;;
722;239;0.4702631;0.3472639;0.4086536;0.7569636;430.2;0.1826888;False;17-11-2024 20:12:24:26;1731870744026;;
735;242;0.4789663;0.3510267;0.4989492;0.779897;425.3;0.1633208;False;17-11-2024 20:12:24:356;1731870744356;;
706;243;0.4602713;0.3522151;0.4141695;0.7214144;422.5;0.1725313;False;17-11-2024 20:12:24:668;1731870744668;;
806;250;0.5250919;0.362834;0.589856;0.8168939;421.3;0.1396;False;17-11-2024 20:12:24:992;1731870744992;;
806;250;0.525045;0.3629887;0.5245535;0.789803;419.4;0.1868001;False;17-11-2024 20:12:25:316;1731870745316;;
806;251;0.5251614;0.3642612;0.531636;0.7483204;416.9;0.1879667;False;17-11-2024 20:12:25:680;1731870745680;;
870;249;0.5666459;0.3612103;0.631822;0.6916395;413.5;0.1941636;False;17-11-2024 20:12:25:979;1731870745979;;
933;249;0.6080415;0.361625;0.6817052;0.7363929;409.8;0.2090551;False;17-11-2024 20:12:26:320;1731870746320;;
882;245;0.5747876;0.3550054;0.5318671;0.6511129;406.6;0.219849;False;17-11-2024 20:12:26:618;1731870746618;;
730;227;0.4755587;0.3298837;0.391815;0.5377581;402.8;0.2150038;False;17-11-2024 20:12:26:942;1731870746942;;
729;218;0.47488;0.3169002;0.4578627;0.5119055;401.9;0.2103029;False;17-11-2024 20:12:27:269;1731870747269;;
705;213;0.459253;0.309644;0.4087189;0.4960046;401.3;0.2035162;False;17-11-2024 20:12:27:599;1731870747599;;
697;217;0.4541515;0.3148342;0.407198;0.6546583;399.4;0.2147467;False;17-11-2024 20:12:27:898;1731870747898;;
657;211;0.4277609;0.3066916;0.3562897;0.5341769;397.0;0.2071712;False;17-11-2024 20:12:28:222;1731870748222;;
522;270;0.3399665;0.3919783;0.2395215;0.9382876;395.2;0.1404395;False;17-11-2024 20:12:28:540;1731870748540;;
529;264;0.3450116;0.3830457;0.3559132;0.7074051;395.5;0.1695577;False;17-11-2024 20:12:28:863;1731870748863;;
1015;264;0.6608082;0.3833275;0.771691;0.7727482;396.6;0.1803053;False;17-11-2024 20:12:29:188;1731870749188;;
1071;265;0.6975379;0.3838964;0.7454679;0.7848179;394.4;0.1922536;False;17-11-2024 20:12:29:512;1731870749512;;
1167;264;0.7603177;0.3831264;0.8357198;0.7483729;390.7;0.2435354;False;17-11-2024 20:12:29:829;1731870749829;;
1320;242;0.8600067;0.3512261;0.955232;0.5793746;389.4;0.2389205;False;17-11-2024 20:12:30:145;1731870750145;;
1321;223;0.8603455;0.3227457;0.901841;0.4997122;387.8;0.2655131;False;17-11-2024 20:12:30:431;1731870750431;;
1280;233;0.8334693;0.3372741;0.7945896;0.7298841;384.8;0.2819635;False;17-11-2024 20:12:30:752;1731870750752;;
1204;229;0.7840367;0.3316757;0.7167423;0.6048931;384.0;0.2834273;False;17-11-2024 20:12:31:75;1731870751075;;
1205;223;0.7848545;0.3230729;0.7885234;0.558893;380.7;0.2954104;False;17-11-2024 20:12:31:392;1731870751392;;
1143;222;0.7447883;0.3219402;0.6805585;0.626977;380.8;0.2660998;False;17-11-2024 20:12:31:713;1731870751713;;
1340;222;0.8725023;0.3222867;0.9542242;0.6506163;378.5;0.283141;False;17-11-2024 20:12:32:34;1731870752034;;
992;215;0.6459364;0.312291;0.5616974;0.5598413;379.0;0.2382142;False;17-11-2024 20:12:33:305;1731870753305;;
726;227;0.4726618;0.3287361;0.359808;0.727944;378.9;0.2338799;False;17-11-2024 20:12:33:630;1731870753630;;
850;232;0.5537753;0.3366805;0.6222154;0.7483465;380.3;0.2303977;False;17-11-2024 20:12:33:945;1731870753945;;
840;233;0.5472779;0.3381676;0.5214503;0.7394595;380.7;0.2319116;False;17-11-2024 20:12:34:265;1731870754265;;
840;235;0.5470654;0.3408162;0.5436299;0.7576322;382.3;0.2190149;False;17-11-2024 20:12:34:584;1731870754584;;
855;236;0.5571517;0.3419999;0.589034;0.7344923;381.8;0.2220946;False;17-11-2024 20:12:34:910;1731870754910;;
853;234;0.5558503;0.3398807;0.5478984;0.6611773;380.1;0.2317592;False;17-11-2024 20:12:35:225;1731870755225;;
900;226;0.5862265;0.3277754;0.6410557;0.5795352;381.0;0.2255357;False;17-11-2024 20:12:35:556;1731870755556;;
950;230;0.6188143;0.333441;0.6873838;0.7084461;383.0;0.2169634;False;17-11-2024 20:12:35:870;1731870755870;;
937;230;0.6103741;0.3332922;0.5918591;0.6605452;383.1;0.2057336;False;17-11-2024 20:12:36:186;1731870756186;;
928;214;0.6043188;0.3104693;0.5789201;0.51636;384.5;0.2139599;False;17-11-2024 20:12:36:508;1731870756508;;
908;228;0.5912181;0.3312869;0.5461959;0.7432924;386.5;0.2209536;False;17-11-2024 20:12:36:827;1731870756827;;
768;208;0.5002835;0.30235;0.4083126;0.4981043;385.5;0.2137237;False;17-11-2024 20:12:37:148;1731870757148;;
772;211;0.5031549;0.3060658;0.5115324;0.642656;385.9;0.2237022;False;17-11-2024 20:12:37:473;1731870757473;;
770;212;0.5017683;0.3079043;0.4829313;0.6510599;389.1;0.2180523;False;17-11-2024 20:12:37:781;1731870757781;;
529;212;0.3446271;0.3068082;0.245169;0.5963669;390.5;0.2105808;False;17-11-2024 20:12:38:114;1731870758114;;
952;202;0.6198063;0.2935121;0.7266653;0.5019161;391.5;0.2216146;False;17-11-2024 20:12:38:425;1731870758425;;
1127;208;0.7342255;0.302203;0.8134897;0.6554114;390.1;0.2165157;False;17-11-2024 20:12:38:745;1731870758745;;
1019;221;0.6635097;0.3201107;0.5905253;0.7394022;391.2;0.2090427;False;17-11-2024 20:12:39:73;1731870759073;;
797;221;0.5189009;0.3206451;0.4176368;0.6484424;391.4;0.2194824;False;17-11-2024 20:12:39:393;1731870759393;;
795;225;0.517862;0.3256535;0.5088062;0.7171624;391.3;0.2050902;False;17-11-2024 20:12:39:712;1731870759712;;
1162;230;0.7565133;0.3341784;0.8607926;0.7623535;391.6;0.2229108;False;17-11-2024 20:12:40:24;1731870760024;;
921;222;0.5997912;0.3216352;0.4993057;0.5875028;389.8;0.2081773;False;17-11-2024 20:12:40:349;1731870760349;;
1053;222;0.6856969;0.3220825;0.7592584;0.65868;390.3;0.2165983;False;17-11-2024 20:12:40:669;1731870760669;;
1011;214;0.6583903;0.3098496;0.6107903;0.542896;390.8;0.2192851;False;17-11-2024 20:12:40:991;1731870760991;;
972;213;0.6333165;0.3096794;0.574252;0.5813771;390.6;0.2045658;False;17-11-2024 20:12:41:307;1731870761307;;
1002;223;0.65268;0.3233258;0.6860922;0.7159585;391.4;0.2180287;False;17-11-2024 20:12:41:625;1731870761625;;
1044;219;0.6797825;0.3178535;0.7335342;0.5898169;389.1;0.22425;False;17-11-2024 20:12:41:951;1731870761951;;
912;217;0.5940849;0.3144402;0.5225682;0.574079;387.7;0.2183375;False;17-11-2024 20:12:42:272;1731870762272;;
766;230;0.4991108;0.3340361;0.4129004;0.7510361;389.0;0.2122085;False;17-11-2024 20:12:42:587;1731870762587;;
782;229;0.5096182;0.3321123;0.5347042;0.6407817;386.9;0.2052807;False;17-11-2024 20:12:42:911;1731870762911;;
880;223;0.5729701;0.3229368;0.6466706;0.5729483;388.0;0.222961;False;17-11-2024 20:12:43:231;1731870763231;;
