X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
225;41;0.2537287;0.0821244;0.2537287;0.1642488;703.4;0.242848;False;07-11-2024 11:26:23:216;1730975183216;;
230;54;0.259394;0.108524;0.3021803;0.3781515;698.5;0.242091;False;07-11-2024 11:26:23:364;1730975183364;;
294;64;0.3311682;0.1288494;0.5023938;0.4598281;696.8;0.2063344;False;07-11-2024 11:26:23:442;1730975183442;;
325;68;0.3663828;0.1379773;0.521158;0.4615296;691.4;0.2071971;False;07-11-2024 11:26:23:494;1730975183494;;
347;76;0.3908929;0.1534937;0.5287755;0.5421645;688.6;0.210639;False;07-11-2024 11:26:23:542;1730975183542;;
361;80;0.4076391;0.1612281;0.5305994;0.5155438;685.2;0.2131602;False;07-11-2024 11:26:23:590;1730975183590;;
364;82;0.4110022;0.1646598;0.4841894;0.4888014;687.3;0.208229;False;07-11-2024 11:26:23:638;1730975183638;;
367;82;0.4137566;0.1653097;0.4877574;0.4586602;687.1;0.2235734;False;07-11-2024 11:26:23:683;1730975183683;;
382;87;0.4302951;0.1751513;0.5516058;0.5562934;686.3;0.2155376;False;07-11-2024 11:26:23:744;1730975183744;;
384;88;0.4332021;0.1764808;0.5164579;0.502826;687.5;0.2163242;False;07-11-2024 11:26:23:789;1730975183789;;
385;93;0.4342274;0.186786;0.4672624;0.616555;689.3;0.2186132;False;07-11-2024 11:26:23:830;1730975183830;;
384;94;0.4326656;0.1881608;0.413873;0.4519901;687.6;0.2161813;False;07-11-2024 11:26:23:869;1730975183869;;
384;94;0.432439;0.1883718;0.4280843;0.4933499;684.3;0.2176052;False;07-11-2024 11:26:23:909;1730975183909;;
383;98;0.4323473;0.197657;0.4300159;0.6253402;686.9;0.2221699;False;07-11-2024 11:26:23:949;1730975183949;;
385;99;0.4337451;0.1988857;0.4829599;0.4695661;684.7;0.2191889;False;07-11-2024 11:26:23:989;1730975183989;;
394;109;0.444528;0.2181793;0.5530198;0.7265143;681.6;0.2185103;False;07-11-2024 11:26:24:29;1730975184029;;
392;109;0.4419909;0.2186547;0.4101987;0.4518156;681.3;0.2185577;False;07-11-2024 11:26:24:69;1730975184069;;
392;109;0.4415193;0.2190133;0.4291541;0.4535715;683.0;0.2266698;False;07-11-2024 11:26:24:104;1730975184104;;
388;109;0.4376298;0.2192369;0.3862772;0.4494776;684.1;0.2194494;False;07-11-2024 11:26:24:140;1730975184140;;
388;109;0.4380076;0.2194938;0.461365;0.456192;684.9;0.228854;False;07-11-2024 11:26:24:177;1730975184177;;
375;109;0.4232205;0.2195644;0.3188044;0.4434121;684.2;0.2185302;False;07-11-2024 11:26:24:215;1730975184215;;
371;109;0.4177953;0.2197111;0.3632264;0.4474682;682.9;0.2177929;False;07-11-2024 11:26:24:282;1730975184282;;
368;109;0.4147322;0.2197698;0.3549872;0.4468034;684.1;0.2200117;False;07-11-2024 11:26:24:316;1730975184316;;
365;109;0.4111317;0.2198179;0.3466916;0.4459321;686.5;0.219592;False;07-11-2024 11:26:24:356;1730975184356;;
364;109;0.4109857;0.2198725;0.3828896;0.449172;685.0;0.2220327;False;07-11-2024 11:26:24:402;1730975184402;;
358;109;0.403975;0.2198998;0.3214509;0.4438648;684.7;0.2258751;False;07-11-2024 11:26:24:451;1730975184451;;
358;109;0.4038524;0.2199303;0.3735414;0.4484049;684.8;0.2294564;False;07-11-2024 11:26:24:501;1730975184501;;
365;109;0.4118762;0.2199453;0.4735843;0.4572741;685.8;0.2281907;False;07-11-2024 11:26:24:548;1730975184548;;
365;109;0.4111024;0.2198648;0.3770133;0.4308214;686.3;0.2225042;False;07-11-2024 11:26:24:595;1730975184595;;
361;109;0.4068264;0.2195054;0.3392592;0.4119619;685.3;0.2269608;False;07-11-2024 11:26:24:640;1730975184640;;
367;109;0.4136905;0.219563;0.4694273;0.4524911;686.6;0.2364006;False;07-11-2024 11:26:24:691;1730975184691;;
373;109;0.4208481;0.2196648;0.4853342;0.4583448;687.3;0.2299771;False;07-11-2024 11:26:24:740;1730975184740;;
357;109;0.4031214;0.2196705;0.2974852;0.4416808;687.9;0.2228977;False;07-11-2024 11:26:24:791;1730975184791;;
362;109;0.4085206;0.2197368;0.4653323;0.4565682;687.3;0.2250024;False;07-11-2024 11:26:24:839;1730975184839;;
374;109;0.4219561;0.219839;0.5174433;0.4612502;687.6;0.2350306;False;07-11-2024 11:26:24:886;1730975184886;;
374;109;0.4219518;0.2198462;0.4216689;0.4526488;686.4;0.2245959;False;07-11-2024 11:26:24:932;1730975184932;;
374;109;0.421693;0.2198479;0.410808;0.4517797;688.3;0.2226571;False;07-11-2024 11:26:24:976;1730975184976;;
374;109;0.4216838;0.2198528;0.4203933;0.4525691;686.9;0.2220088;False;07-11-2024 11:26:25:16;1730975185016;;
374;109;0.421768;0.2199811;0.4320736;0.4663653;685.9;0.2233582;False;07-11-2024 11:26:25:57;1730975185057;;
375;109;0.4233811;0.2199908;0.461381;0.4562619;683.2;0.2142427;False;07-11-2024 11:26:25:101;1730975185101;;
377;110;0.4247263;0.2200101;0.4646543;0.4582504;680.8;0.212671;False;07-11-2024 11:26:25:141;1730975185141;;
378;110;0.4257267;0.2200153;0.4641795;0.4564579;679.4;0.2146799;False;07-11-2024 11:26:25:179;1730975185179;;
