X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
328;144;0.6750711;0.3712285;0.6750711;0.742457;404.6;0.2476798;False;12-11-2024 10:23:32:800;1731403412800;;
323;144;0.664912;0.3712215;0.5942549;0.7397467;403.7;0.1885041;False;12-11-2024 10:23:33:14;1731403413014;;
322;144;0.6629471;0.3715422;0.6027227;0.7670501;405.2;0.2592922;False;12-11-2024 10:23:33:124;1731403413124;;
321;144;0.6615303;0.3715377;0.5970375;0.7419969;405.6;0.287016;False;12-11-2024 10:23:33:204;1731403413204;;
321;144;0.66101;0.3707529;0.6250627;0.7006445;406.3;0.2817094;False;12-11-2024 10:23:33:280;1731403413280;;
321;143;0.6606826;0.3674035;0.6255952;0.6370467;407.2;0.2815858;False;12-11-2024 10:23:33:345;1731403413345;;
321;143;0.6604991;0.3674719;0.6137053;0.7410929;407.3;0.2836197;False;12-11-2024 10:23:33:398;1731403413398;;
320;143;0.6602027;0.3677829;0.6097332;0.7587796;406.9;0.2541705;False;12-11-2024 10:23:33:449;1731403413449;;
320;143;0.6601266;0.3679074;0.617421;0.7512838;407.3;0.2610168;False;12-11-2024 10:23:33:500;1731403413500;;
320;143;0.660091;0.3679314;0.6152354;0.7428466;406.2;0.2502115;False;12-11-2024 10:23:33:548;1731403413548;;
320;143;0.6596063;0.3680463;0.6063761;0.7523785;407.0;0.2598233;False;12-11-2024 10:23:33:617;1731403413617;;
320;143;0.6592018;0.3689123;0.628758;0.789805;406.8;0.2656212;False;12-11-2024 10:23:33:675;1731403413675;;
320;143;0.6591585;0.368782;0.6181902;0.7229146;408.4;0.2675961;False;12-11-2024 10:23:33:724;1731403413724;;
734;197;0.4778663;0.2782669;0.6059166;0.7463034;423.0;0.1718821;False;12-11-2024 10:23:33:904;1731403413904;;
812;208;0.5286748;0.3012246;0.6066694;0.7455004;434.5;0.1618141;False;12-11-2024 10:23:33:990;1731403413990;;
844;209;0.5498103;0.3026396;0.6141744;0.6852965;446.5;0.1685017;False;12-11-2024 10:23:34:43;1731403414043;;
862;212;0.5615603;0.3075565;0.6114575;0.7359052;456.4;0.1602023;False;12-11-2024 10:23:34:97;1731403414097;;
876;212;0.5708166;0.3079579;0.6169286;0.6894626;466.8;0.1581058;False;12-11-2024 10:23:34:155;1731403414155;;
882;213;0.5745735;0.30833;0.6091411;0.6685148;474.0;0.1526852;False;12-11-2024 10:23:34:202;1731403414202;;
886;215;0.5770269;0.3123982;0.6076992;0.747312;480.4;0.1559178;False;12-11-2024 10:23:34:248;1731403414248;;
889;217;0.5788843;0.3153268;0.6085824;0.7471855;487.4;0.1496538;False;12-11-2024 10:23:34:292;1731403414292;;
891;219;0.580413;0.3169922;0.6098322;0.7389686;493.6;0.1480668;False;12-11-2024 10:23:34:338;1731403414338;;
894;219;0.5821108;0.3182538;0.6143858;0.737931;501.0;0.1453649;False;12-11-2024 10:23:34:385;1731403414385;;
895;221;0.582804;0.3203707;0.6093436;0.7587254;505.7;0.1531923;False;12-11-2024 10:23:34:427;1731403414427;;
898;223;0.5851708;0.3235598;0.6272857;0.780594;508.9;0.1550953;False;12-11-2024 10:23:34:469;1731403414469;;
899;224;0.5854115;0.3250751;0.609708;0.766813;512.2;0.1566241;False;12-11-2024 10:23:34:511;1731403414511;;
899;225;0.5854262;0.3267981;0.6056542;0.7762979;516.7;0.1493921;False;12-11-2024 10:23:34:550;1731403414550;;
899;225;0.5856205;0.326891;0.5932037;0.7524529;518.8;0.1481971;False;12-11-2024 10:23:34:592;1731403414592;;
900;226;0.5863017;0.3272715;0.6146696;0.7419965;523.3;0.1505281;False;12-11-2024 10:23:34:635;1731403414635;;
901;226;0.587051;0.3273594;0.6170938;0.7474332;525.5;0.1567353;False;12-11-2024 10:23:34:681;1731403414681;;
895;226;0.582794;0.3283406;0.5482674;0.7006581;527.6;0.1540445;False;12-11-2024 10:23:34:724;1731403414724;;
879;228;0.5723419;0.3304858;0.5175911;0.7729943;528.1;0.158948;False;12-11-2024 10:23:34:778;1731403414778;;
882;230;0.5746372;0.3329191;0.6075257;0.7875798;529.3;0.1540382;False;12-11-2024 10:23:34:824;1731403414824;;
887;230;0.5780851;0.3334004;0.6215997;0.7665893;529.7;0.1511862;False;12-11-2024 10:23:34:868;1731403414868;;
889;231;0.5788744;0.3356795;0.6056052;0.797873;532.4;0.1562557;False;12-11-2024 10:23:34:910;1731403414910;;
885;232;0.5763554;0.337181;0.548314;0.794849;533.9;0.1548867;False;12-11-2024 10:23:34:950;1731403414950;;
885;234;0.5763813;0.3393633;0.5860837;0.8093917;534.4;0.1534779;False;12-11-2024 10:23:34:991;1731403414991;;
