X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
780;249;0.5079914;0.3605295;0.5079914;0.721059;680.5;0.1728087;False;10-11-2024 22:04:00:200;1731272640200;;
792;253;0.5162595;0.3671981;0.5519451;0.8029813;679.0;0.1899676;False;10-11-2024 22:04:00:386;1731272640386;;
602;226;0.3924709;0.3284964;0.2510527;0.4702174;710.6;0.1994311;False;10-11-2024 22:04:00:462;1731272640462;;
605;214;0.3941464;0.3102484;0.4512308;0.4761509;716.8;0.2089479;False;10-11-2024 22:04:00:530;1731272640530;;
610;204;0.3973834;0.2955926;0.4647397;0.4341185;722.4;0.2082053;False;10-11-2024 22:04:00:580;1731272640580;;
535;205;0.3484961;0.2971102;0.2443585;0.6372834;724.4;0.1797029;False;10-11-2024 22:04:00:630;1731272640630;;
494;205;0.3218941;0.2971973;0.2450234;0.6037209;726.1;0.1794892;False;10-11-2024 22:04:00:677;1731272640677;;
784;189;0.5105115;0.2740004;0.5946716;0.4678403;687.3;0.2076788;False;10-11-2024 22:04:10:69;1731272650069;;
796;189;0.5188654;0.2739601;0.6252816;0.4705884;652.4;0.2065838;False;10-11-2024 22:04:10:119;1731272650119;;
818;189;0.5330894;0.2738302;0.651701;0.5442425;624.2;0.199949;False;10-11-2024 22:04:10:167;1731272650167;;
836;189;0.5447149;0.273717;0.6518314;0.5441284;598.9;0.2002583;False;10-11-2024 22:04:10:228;1731272650228;;
839;183;0.5466266;0.26592;0.6182806;0.439817;582.3;0.2413587;False;10-11-2024 22:04:10:478;1731272650478;;
843;184;0.5489051;0.2669526;0.5782913;0.559782;567.3;0.2314181;False;10-11-2024 22:04:10:516;1731272650516;;
886;211;0.5770321;0.3055619;0.6710646;0.7421849;555.9;0.1898846;False;10-11-2024 22:04:10:689;1731272650689;;
